Step,0,1,2,3,4,5,6,7
0,-0.310821732,-0.247558904,0.188687647,0.417453083,0.376828643,0.234569331,0.220768756,0.221812482
1,-0.24650856,-0.222324099,0.127436777,0.297751417,0.306957179,0.204601643,0.131847135,0.312332831
2,-0.258132254,-0.160354783,0.030018637,0.181827977,0.228391276,0.209786365,0.220415503,0.370138872
3,-0.105878482,-0.296900742,-0.005117064,0.299837257,0.316358354,0.207319343,0.140407049,0.282674064
4,-0.229586376,-0.131763296,0.126777419,0.152275396,0.165937558,0.159547209,0.258574663,0.283237836
5,-0.125998226,-0.100506698,0.226807578,0.368989351,0.29699686,0.029660254,-0.05973005,0.183546178
6,-0.23194585,-0.268209927,0.122849402,0.354875496,0.369302213,0.238796048,0.196234002,0.224515048
7,-0.281617946,-0.245710347,0.196942728,0.365605834,0.36097137,0.207211997,0.091338693,0.281607708
8,-0.158973947,-0.109574318,0.215372159,0.309056422,0.260348617,0.086906162,0.042362303,0.187268639
9,-0.275697889,-0.151434037,0.09162438,0.306833398,0.369806303,0.214611743,0.155907521,0.253040328
10,-0.176359763,-0.264506867,0.053288655,0.41160667,0.354393191,0.171767406,0.173620124,0.251520419
11,-0.264890442,-0.198186944,0.110358048,0.339728055,0.298622898,0.120190641,0.086125378,0.366062652
12,-0.380668165,-0.178413167,0.11725674,0.239505085,0.277010754,0.280491548,0.305709592,0.330116259
13,-0.162969029,-0.236076101,0.152611863,0.357691509,0.19935447,0.094528955,0.024982935,0.353342505
14,-0.06047427,-0.074148291,0.064712659,0.184291552,0.173462234,0.179679075,0.204266806,0.11515008
15,-0.270687484,-0.166982228,0.020660069,0.297362118,0.345854483,0.278716244,0.160699765,0.290809155
16,-0.283534109,-0.234606908,-0.014993696,0.246441872,0.285228224,0.254613023,0.218386079,0.400210497
17,-0.359859397,-0.216875162,0.024576684,0.309769811,0.353644258,0.335840792,0.307054851,0.28636643
18,-0.33814273,-0.30464659,-0.017653727,0.31820441,0.344705547,0.377711184,0.37706837,0.298562969
19,-0.192665801,-0.100865496,0.017881964,0.27906672,0.284008031,0.177302301,0.103654697,0.276711342
20,-0.196038328,-0.242400069,-0.120875221,0.353422399,0.422338527,0.369638023,0.270408255,0.18787237
21,-0.154948965,-0.06478337,0.148807208,0.234782721,0.085249451,0.037248251,0.086475814,0.289426113
22,-0.279140926,-0.312045554,-0.005335923,0.345747506,0.301235646,0.266362497,0.244288574,0.354093744
23,-0.255911788,-0.246583581,-0.040728879,0.288440679,0.323942066,0.298950026,0.271401661,0.298894682
24,-0.353760331,-0.364627646,-0.099762988,0.355831061,0.350075958,0.325668856,0.332625963,0.439106091
25,-0.216313957,-0.286006438,-0.166921763,0.339097926,0.407035342,0.304764761,0.224723715,0.333627006
26,-0.318449731,-0.127218916,-0.052149254,0.290850428,0.38167813,0.341258224,0.267740626,0.23339388
27,-0.336494458,-0.295802859,-0.140688447,0.347221401,0.432111769,0.404315839,0.342814638,0.321090845
28,-0.185266905,-0.261537934,-0.090571816,0.222259385,0.283310839,0.314617162,0.338987323,0.302575935
29,-0.142430587,-0.120189891,0.112243829,0.222279449,0.165317406,0.203267492,0.180429676,0.184117843
30,-0.074976994,-0.043605216,0.101405516,0.323642941,0.226916642,0.117017842,0.068282326,0.121026329
31,-0.357494422,-0.330046444,-0.051879715,0.392956947,0.368457471,0.332938856,0.315720372,0.349136009
32,-0.123515429,-0.182316006,-0.056753162,0.318271528,0.296065405,0.222686923,0.186042551,0.241548808
33,-0.371824515,-0.175271362,0.072529316,0.432288084,0.307849932,0.225093735,0.220701045,0.280704367
34,-0.058401287,-0.102817662,0.012984665,0.208892128,0.184971705,0.224811541,0.170096023,0.174029437
35,-0.264061817,-0.178089492,-0.094472958,0.329027489,0.362180328,0.327300582,0.318011015,0.234003738
36,-0.298763233,-0.325417229,-0.117316218,0.40661463,0.377637996,0.338294425,0.317253296,0.362216585
37,-0.264751894,-0.129041321,-0.01761013,0.270873042,0.243591316,0.246471506,0.305692847,0.289280615
38,-0.214535208,-0.032248029,0.084501546,0.290870097,0.231874771,0.204940587,0.146573528,0.187126917
39,-0.214573798,-0.209136997,-0.048056447,0.391448084,0.342579036,0.267509791,0.215495777,0.267135104
40,-0.261981412,-0.253575458,-0.055012173,0.332703553,0.280250058,0.23970033,0.24797678,0.382815978
41,-0.186397587,-0.182060177,0.039326184,0.288079473,0.158268391,0.12700811,0.191307959,0.371673264
42,-0.168846578,-0.133351094,0.009803656,0.302388194,0.251563112,0.192071918,0.187612695,0.283248867
43,-0.170589661,-0.180870749,-0.166060333,0.333072938,0.366564098,0.293488765,0.239415447,0.287066809
44,-0.056102542,-0.11795907,-0.074815811,0.303973877,0.276171872,0.203763034,0.119304397,0.204387812
45,-0.149241774,-0.077841619,0.076709662,0.325928064,0.262214322,0.22030244,0.145288884,0.121784073
46,-0.132121165,-0.21898276,-0.094446658,0.332166607,0.312413811,0.204956834,0.200868673,0.298783881
47,-0.166172576,-0.170807824,-0.059219596,0.355975861,0.294509987,0.207033061,0.162706459,0.294431358
48,-0.122934173,-0.180968306,-0.079380404,0.125098477,0.113932761,0.207657346,0.321315501,0.422332353
49,-0.232853336,-0.200505455,-0.062341119,0.277962831,0.303292578,0.32693205,0.29798515,0.269328457
50,-0.181045062,-0.104919742,-0.05916974,0.179588839,0.213427181,0.204218356,0.244781014,0.312576267
51,-0.168165568,-0.063677178,0.056383759,0.170497781,0.136991057,0.269005572,0.286473274,0.210696301
52,-0.248569117,-0.066763681,0.091353777,0.28717481,0.200496144,0.219741639,0.220581072,0.188067365
53,0.025263623,-0.104836419,-0.204421112,0.20629254,0.331691656,0.322981867,0.231542544,0.072174262
54,-0.057326344,0.034734004,-0.095831197,0.16013576,0.256071827,0.214240406,0.162501444,0.144736698
55,-0.13722051,-0.229847746,-0.100825029,0.396361842,0.372138191,0.302928532,0.235800358,0.17146693
56,-0.109272168,-0.088814092,0.141306712,0.328270921,0.13549972,0.149181166,0.13975411,0.172737284
57,-0.112870273,-0.159468691,-0.054746407,0.315694882,0.226537751,0.213180498,0.202443709,0.256607783
58,-0.056139386,-0.127818859,0.013006581,0.210288201,0.172368555,0.151690542,0.171922676,0.23227003
59,0.010158992,0.014063196,0.047612115,0.131409164,0.119214976,0.169079778,0.151480945,0.103559351
60,-0.223692481,-0.183478369,-0.051248414,0.301219326,0.273753929,0.300067815,0.304911184,0.260630652
61,-0.180857013,-0.236543294,-0.118072998,0.368559681,0.379500902,0.365985027,0.251266623,0.221033068
62,-0.26498935,-0.121713329,0.073512291,0.235398796,0.114546138,0.181310062,0.271893245,0.37745558
63,-0.115170368,-0.181233271,-0.144093134,0.202226075,0.229904697,0.241384773,0.248479119,0.367575887
64,-0.104329542,-0.007968691,0.081931077,0.192520259,0.089662406,0.137832595,0.174227985,0.20626671
65,-0.140187074,-0.019240682,0.129255217,0.219733645,0.068508409,0.113335441,0.207679603,0.232639273
66,-0.141729153,0.012619727,0.134286117,0.260442548,0.232915877,0.236193894,0.133953466,0.05436179
67,-0.09769475,-0.259279499,-0.230036074,0.213404871,0.292843812,0.306600445,0.326873887,0.336628841
68,-0.19461463,-0.197218776,-0.079321682,0.36554642,0.279998817,0.283714068,0.335430265,0.247615752
69,-0.205381331,-0.121009357,0.015103381,0.376904578,0.239987761,0.229857464,0.214642597,0.224938589
70,-0.137943305,-0.14670757,-0.076145933,0.248095119,0.270976898,0.274390986,0.273159052,0.223555095
71,0.02568927,0.081181983,0.072914386,0.180556588,0.070127603,0.050372603,0.082586608,0.110005898
72,-0.170724899,-0.074002656,0.046334268,0.20939344,0.079596857,0.106482419,0.210544179,0.361778949
73,-0.188767131,-0.129051008,-0.03009858,0.281620426,0.21775861,0.205608414,0.246555858,0.302809108
74,-0.338348988,-0.197898576,-0.035291037,0.240504579,0.252648991,0.291504394,0.348675082,0.405708245
75,-0.037015293,0.106946979,0.132455865,0.071866686,0.102829064,0.159212766,0.164183477,0.081738273
76,-0.171397618,-0.148061068,-0.218659564,0.13223064,0.388558797,0.40481943,0.397506332,0.231912924
77,-0.053317502,-0.08551271,-0.061195467,0.230618435,0.167494593,0.146291532,0.152878873,0.277358389
78,-0.13539272,-0.155168891,-0.05714137,0.216934244,0.312585527,0.338772025,0.324543721,0.161201299
79,-0.234430551,-0.007689175,0.084394815,0.243475647,0.193356696,0.227578247,0.257357841,0.212721027
80,-0.194706986,-0.076304189,0.009607152,0.178229493,0.239796495,0.275671624,0.322836974,0.22152463
81,-0.227145822,-0.037141979,0.026887027,0.122314013,0.16011347,0.218263678,0.281724386,0.329581728
82,-0.068912635,0.085394221,0.135572475,0.081782071,0.062504363,0.150205093,0.162094521,0.161460654
83,-0.121112367,-0.079906874,-0.037186578,0.207878382,0.214430535,0.229743064,0.247390791,0.253946532
84,-0.012492856,-0.001106757,-0.001518001,0.062059793,0.245777087,0.310113334,0.253127537,0.034743054
85,0.039509604,0.031306219,-0.068371924,0.062517326,0.190862497,0.164055063,0.144273569,0.1572258
86,-0.198840098,-0.059350799,-0.098938152,0.155275084,0.378452664,0.400557539,0.337906424,0.185469427
87,0.049450732,-0.020365173,0.007879667,0.070448004,0.138959809,0.180169322,0.154463249,0.148980712
88,-0.093395624,0.093501357,0.09875661,0.198738614,0.196087356,0.152324701,0.10226786,0.136368606
89,-0.145614946,-0.027063712,-0.090993698,0.184435446,0.261949318,0.332152753,0.328707366,0.164322401
90,-0.075647231,0.068202174,0.067910706,0.246415327,0.201156584,0.208617403,0.15161241,0.022728725
91,-0.190048016,-0.030789642,-0.029542725,0.206269371,0.250141998,0.327810109,0.317169243,0.230207059
92,-0.125616329,-0.091947753,-0.16693775,0.044112845,0.203049423,0.37099033,0.3950208,0.340818927
93,-0.020078597,0.067271658,0.091123046,0.237395951,0.222778235,0.197977978,0.104927765,-0.026006188
94,-0.085635405,-0.007628991,-0.093412698,0.098826365,0.22995123,0.342386593,0.304045321,0.168677767
95,-0.011362577,-0.137138714,-0.174622817,0.220869502,0.311898017,0.369158902,0.258100424,0.134872392
96,-0.125165216,7.45448E-06,-0.042404812,0.24410767,0.295481175,0.272303238,0.19777148,0.13466789
97,-0.182736703,0.062679924,0.098007067,0.21459111,0.160694294,0.21896108,0.210027139,0.179490945
98,-0.15884612,-0.183060677,-0.183759833,0.258889598,0.336172748,0.426409806,0.334498173,0.259137517
99,-0.047847075,-0.020050795,-0.112334194,0.100683371,0.205301186,0.307057714,0.285486162,0.16531112
100,-0.150537507,-0.059915551,-0.062477101,0.216563655,0.262665854,0.332064509,0.283723306,0.209163364
101,0.01257697,0.229809636,0.175662316,0.138337472,0.061620521,0.058544254,0.019386323,-0.0508244
102,0.025517688,0.167524845,0.152102058,0.142402876,0.07018543,0.080642817,0.048193642,0.024030748
103,-0.045169607,0.037301334,0.010222721,0.23881031,0.202775379,0.216063979,0.150941459,0.120708453
104,-0.132156348,0.043527471,-0.041536493,0.124159226,0.191125697,0.294256923,0.263979587,0.224698584
105,-0.084568465,0.182149468,0.06380177,0.102478652,0.133296558,0.176382093,0.149377749,0.080416722
106,-0.123545723,0.025798828,-0.016752966,0.251419186,0.244637909,0.228993633,0.198525791,0.173098297
107,-0.117006275,0.109227332,0.139811347,0.323291881,0.198343823,0.124410338,0.091851638,0.037763726
108,0.019994757,-0.02835647,-0.045882348,0.159942545,0.23464143,0.236092899,0.191291679,0.10156681
109,0.066037729,0.156642911,0.164555374,0.277512346,0.142089284,0.041674306,-0.029688598,-0.095434353
110,-0.083973729,0.139384378,0.063540033,0.091134755,0.145588447,0.192534835,0.205788077,0.111292494
111,-0.266250501,-0.088477182,-0.08013849,0.21060096,0.358617902,0.401382666,0.388745604,0.286702593
112,-0.103645921,0.011062973,0.08451438,0.31093517,0.238418674,0.201036527,0.171866062,0.120808394
113,-0.06268559,0.118863557,0.089643468,0.234259566,0.215715085,0.159242734,0.111128625,0.063562962
114,-0.165870762,0.156963902,0.218835704,0.298324393,0.245691826,0.14989735,0.121373987,0.061676028
115,-0.138982251,0.104707044,0.19167264,0.481844469,0.33706825,0.143994718,0.050164416,0.0155294
116,-0.179604237,0.049455195,0.134735409,0.414935215,0.365664138,0.248820942,0.140861557,0.083357558
117,-0.180871897,-0.110405611,0.000388046,0.447613244,0.430608225,0.362217727,0.262372221,0.198242864
118,-0.235646138,0.08609091,0.1642068,0.284395356,0.257647276,0.243239644,0.246762108,0.187483379
119,-0.087525778,0.166190422,0.226614551,0.276128139,0.135050724,0.122193371,0.124954855,0.059804873
120,-0.052631314,0.164221146,0.128889371,0.165425573,0.139237159,0.162221225,0.175736384,0.0913455
121,-0.033141859,0.108975553,0.259221512,0.403184648,0.254895751,0.149356646,0.062238538,-0.037157332
122,0.002187473,0.201085939,0.266799592,0.278739261,0.061066676,-0.003891641,0.064597815,0.081759553
123,-0.041787943,0.16683493,0.222845491,0.269277662,0.222439777,0.16752066,0.093907184,-0.017440621
124,-0.104993926,0.072962543,0.230798394,0.38222191,0.264698066,0.205322018,0.162718642,0.110452575
125,0.006058779,0.18609553,0.258868276,0.256621483,0.109674981,0.063634536,0.068740483,0.020901095
126,0.101636498,0.36754735,0.439908037,0.249490202,-0.016699255,-0.077703263,-0.13211778,-0.170279426
127,-0.177511704,0.06131573,0.333121266,0.427941665,0.3554174,0.26172993,0.188791488,0.062060884
128,-0.135656973,-0.015054723,0.193658581,0.397623536,0.388865407,0.344014085,0.252713918,0.082509105
129,-0.069092439,0.047831527,0.171656577,0.235687189,0.144547886,0.167992584,0.241838048,0.215193751
130,0.096958135,0.303108829,0.396312548,0.277871999,0.108363351,0.025532314,-0.10216312,-0.155370702
131,-0.11333088,0.034491925,0.300512702,0.379200116,0.332516736,0.279050463,0.203982671,0.054568495
132,0.015566074,0.273358128,0.406325441,0.275660986,0.124594382,0.061801684,0.002729143,0.022973053
133,-0.032315978,0.234436821,0.434461835,0.284413064,0.151437401,0.076647539,0.072484879,0.029575406
134,-0.052899471,0.213876242,0.310069992,0.256908724,0.187244305,0.174921392,0.124895699,0.018284171
135,-0.042522919,0.227214152,0.416231569,0.300965962,0.190121641,0.141136914,0.071200869,0.011774767
136,-0.004965316,0.058878885,0.211195758,0.174882938,0.145265747,0.207619923,0.188122436,0.149911243
137,-0.057728463,0.162146432,0.321940015,0.261175161,0.189763236,0.208695959,0.169754401,0.063478139
138,-0.104351122,0.073692012,0.259364772,0.226046638,0.263186957,0.290339386,0.249573934,0.124725809
139,-0.137466687,0.112482942,0.347923846,0.259783689,0.1977712,0.255353137,0.26673265,0.161033582
140,0.078146756,0.179568736,0.268723367,0.205357035,0.178900212,0.160760348,0.040273552,-0.031232988
141,-0.074408159,-0.025413358,0.218767515,0.276516863,0.311329674,0.322752898,0.291884988,0.104082218
142,-0.0586041,0.232544381,0.400665412,0.231181379,0.196926472,0.148886129,0.103688701,0.056217035
143,0.036464214,0.183677168,0.268682295,0.163846572,0.123888459,0.147117076,0.111514457,0.056349301
144,-0.03914517,0.147631467,0.234950715,0.127078114,0.091313175,0.197981639,0.20809598,0.183907839
145,-0.186742318,0.059194058,0.317697275,0.30529733,0.307453417,0.334258394,0.297746248,0.173064362
146,0.070397334,0.197225173,0.337803695,0.162936442,0.070715651,0.107402053,0.052819747,0.040652612
147,0.0781888,0.14544844,0.372473242,0.284878661,0.244300829,0.192293826,0.086020146,-0.087059476
148,0.077421221,0.272090248,0.362336794,0.264494773,0.165908161,0.078076173,0.011157521,-0.071950892
149,-0.061475213,0.295233831,0.386017003,0.241911934,0.15908271,0.138055168,0.112379206,0.072672615
150,0.031818533,0.291222357,0.436850152,0.332736776,0.201285922,0.148633262,0.006362082,-0.173787287
151,-0.005455869,0.196908909,0.355127709,0.271242599,0.261131485,0.158243871,0.071381904,-0.006382466
152,-0.030148865,0.113514167,0.272387491,0.253376166,0.307333835,0.231062802,0.214127898,0.033766248
