Step,0,1,2,3,4,5,6,7
0,2.251586914,2.272289515,2.291486025,2.302478552,2.309356928,2.317210197,2.328663349,2.353600502
1,2.251284599,2.272172213,2.291482449,2.302561522,2.309462547,2.317323923,2.328707695,2.353658676
2,2.251057386,2.272152424,2.291367531,2.302515268,2.309521198,2.317491055,2.32885623,2.353624582
3,2.250966311,2.272269249,2.291229248,2.302390575,2.309537411,2.317636967,2.329001427,2.353455782
4,2.250871658,2.272325277,2.291094542,2.302330732,2.309572458,2.317721367,2.329038382,2.353426456
5,2.25080061,2.272485971,2.291038752,2.30223918,2.309550524,2.317728043,2.32895875,2.353462934
6,2.250890732,2.27278161,2.291105509,2.302164078,2.309494019,2.317662716,2.328784704,2.353222847
7,2.251041174,2.273026228,2.291047573,2.302043915,2.309408665,2.317586899,2.328680992,2.353091955
8,2.250881672,2.27309227,2.291072845,2.302048683,2.309408665,2.317552805,2.328608036,2.353123188
9,2.250812769,2.273157597,2.291018486,2.30207181,2.309426308,2.317507744,2.328504801,2.353131056
10,2.250741005,2.273261309,2.291077852,2.302160263,2.309432268,2.317410231,2.328380823,2.353000879
11,2.2504704,2.273268461,2.29106164,2.302280903,2.309493065,2.317382097,2.328340292,2.353035688
12,2.250264168,2.273116827,2.29088521,2.302433252,2.309595585,2.31737709,2.32834506,2.353197336
13,2.250102282,2.272873163,2.290507078,2.302488804,2.309714556,2.317439795,2.328414679,2.353543043
14,2.250178337,2.272568703,2.289998531,2.302466393,2.309774637,2.317481518,2.328469992,2.353993416
15,2.250437498,2.272419453,2.2896173,2.302467823,2.309822321,2.317510366,2.32849884,2.353959322
16,2.250884056,2.272326231,2.28920126,2.302445412,2.30984211,2.317502737,2.328514576,2.353777409
17,2.251100063,2.272111893,2.288741112,2.302457094,2.309912443,2.317551136,2.328603029,2.353825331
18,2.251482248,2.271843195,2.288276672,2.302546978,2.310042143,2.317579746,2.32851696,2.35380578
19,2.251922131,2.271729946,2.287857771,2.302589893,2.310171843,2.317623854,2.328418016,2.353511572
20,2.252437592,2.271693945,2.287550926,2.30259037,2.310233355,2.317623854,2.328283548,2.35311532
21,2.252951622,2.271742105,2.287266016,2.302558184,2.310287476,2.317597866,2.328083754,2.352740288
22,2.253215551,2.271694899,2.287034273,2.302558661,2.310375929,2.317667007,2.328066349,2.352337122
23,2.253578663,2.271754265,2.286959171,2.302569628,2.310408115,2.3176651,2.327945709,2.351776361
24,2.254054308,2.271864414,2.286738634,2.302513123,2.31045723,2.317672253,2.327802181,2.35123992
25,2.254379272,2.271784306,2.286446571,2.302543402,2.310604572,2.317776918,2.327731609,2.350797176
26,2.254515886,2.271683216,2.286278248,2.30263114,2.31074667,2.317859888,2.327648401,2.35043478
27,2.254615545,2.271547794,2.286057234,2.302712917,2.310911894,2.317981005,2.327627182,2.350076199
28,2.254880905,2.271520615,2.285922766,2.302736998,2.310967207,2.317980528,2.327493668,2.349741936
29,2.255082846,2.271519423,2.28574729,2.302770615,2.311097145,2.318084002,2.3274436,2.349204779
30,2.25538969,2.271488667,2.2855196,2.30274272,2.311182499,2.318178654,2.327422857,2.348706961
31,2.255557775,2.271367311,2.285340309,2.302740574,2.311249018,2.318255663,2.327410698,2.348412037
32,2.255669117,2.271348238,2.285382748,2.302739382,2.311217785,2.318218708,2.327302456,2.348158836
33,2.255848169,2.271409512,2.285255194,2.302647829,2.311208963,2.318203449,2.327219725,2.347932816
34,2.255901575,2.271430254,2.285154581,2.302605391,2.311229229,2.318234444,2.327201843,2.347667694
35,2.255842209,2.271506071,2.285130024,2.302605152,2.311279774,2.318266153,2.327147245,2.347364426
36,2.25585556,2.271516323,2.285024643,2.302620411,2.311362743,2.318318367,2.327101231,2.347060919
37,2.25579977,2.27155757,2.284926891,2.302634478,2.311463356,2.318408012,2.327105522,2.346675396
38,2.255687952,2.271463633,2.284696341,2.302634239,2.311580658,2.318537474,2.327198744,2.34651947
39,2.255521536,2.271226883,2.284302711,2.30266881,2.311780214,2.318741322,2.327368498,2.346479654
40,2.255456448,2.271095037,2.283910513,2.302634954,2.31193614,2.318939924,2.327553511,2.34630537
41,2.255373955,2.270994425,2.28367281,2.302610397,2.312018633,2.319056511,2.327680826,2.346168995
42,2.25513339,2.270832539,2.283392429,2.3026371,2.312180996,2.319249153,2.32786727,2.346047878
43,2.254807711,2.270611763,2.283131838,2.302665949,2.312323809,2.319430351,2.328072071,2.346102476
44,2.254379272,2.270352125,2.2828722,2.302679062,2.312456608,2.319633245,2.328321457,2.346254349
45,2.254146576,2.270171165,2.282612801,2.3026371,2.312564135,2.319841862,2.328546524,2.346196651
46,2.254007101,2.269953489,2.28231144,2.30260396,2.312672615,2.320022106,2.328732729,2.346179962
47,2.253885031,2.269814491,2.282158136,2.302600861,2.312745094,2.320129633,2.328828573,2.346077204
48,2.253958702,2.269796848,2.282051325,2.302510023,2.312721014,2.320157528,2.32885623,2.345923185
49,2.253824711,2.269740105,2.282017708,2.302467108,2.312716484,2.320220709,2.328918457,2.345820904
50,2.253865957,2.269729614,2.281995535,2.302328825,2.312620401,2.320223093,2.32894659,2.345739126
51,2.254010201,2.26985383,2.28209877,2.30219388,2.31247592,2.320149899,2.328875303,2.345496893
52,2.254122734,2.269996405,2.282215834,2.302057505,2.312322617,2.320060015,2.328794718,2.345286608
