Step,0,1,2,3,4,5,6,7
0,1.198141931,0.877761971,0.694754676,0.594131183,0.464398236,0.542361921,0.752683114,1.232467387
1,1.211860559,0.854785428,0.71085313,0.59249874,0.466959789,0.548369778,0.745148386,1.275835431
2,1.203589173,0.875000894,0.71183198,0.573215332,0.465133454,0.54566462,0.723615703,1.283645406
3,1.235185386,0.862475634,0.770160289,0.596796269,0.481732671,0.577543619,0.71072936,1.233927219
4,1.208269208,0.863291753,0.764827238,0.581432643,0.460640902,0.579447804,0.755942957,1.246760434
5,1.230287441,0.869055581,0.7673241,0.613697376,0.480135179,0.584435424,0.713881119,1.24451632
6,1.243647688,0.882988658,0.726868647,0.611690048,0.459157253,0.560683378,0.699535431,1.235506174
7,1.253524505,0.886819041,0.752538674,0.583147249,0.480780518,0.599241592,0.716866298,1.274153482
8,1.248015769,0.887595056,0.753841247,0.589266683,0.469464227,0.590592188,0.706913064,1.219245254
9,1.24381552,0.893850371,0.749830316,0.611938147,0.484156834,0.573383511,0.700501734,1.257904836
10,1.255420318,0.88864444,0.74264499,0.600690478,0.481153809,0.566720318,0.705331918,1.233959376
11,1.244527096,0.895711384,0.749971186,0.581662783,0.489316863,0.555556505,0.717631709,1.298022725
12,1.240939994,0.927422022,0.764986332,0.557382666,0.477740814,0.557414148,0.711763262,1.30294187
13,1.275765512,0.902808853,0.779944084,0.561237243,0.493055262,0.557174571,0.705817352,1.303483536
14,1.263729391,0.911474027,0.795282695,0.569674287,0.499666934,0.548490852,0.732160983,1.265176025
15,1.238298927,0.925514383,0.800588787,0.551377873,0.515599662,0.570594332,0.705476562,1.298874774
16,1.247766156,0.901078555,0.806987909,0.535585086,0.516076845,0.549104058,0.693630152,1.264189662
17,1.226368893,0.908221815,0.790904509,0.555743231,0.542567057,0.555575418,0.718206368,1.234750782
18,1.24958896,0.904576701,0.768195061,0.53437238,0.523059147,0.559926759,0.711646837,1.262576985
19,1.205077797,0.914608553,0.811983079,0.537739022,0.52987618,0.56549467,0.697284948,1.247827382
20,1.197339958,0.899157875,0.780063233,0.535433771,0.566585675,0.568144406,0.683138332,1.251465544
21,1.163059684,0.903026257,0.838446345,0.525918646,0.53315221,0.547054663,0.685913996,1.27071372
22,1.189700634,0.887916283,0.830291399,0.526182134,0.556861927,0.557804952,0.696422467,1.290737482
23,1.168137743,0.881935549,0.818518226,0.525263863,0.551258876,0.563816641,0.669144462,1.242920447
24,1.162425443,0.883269379,0.792699038,0.515462899,0.539790002,0.561522315,0.64887032,1.254143023
25,1.145201053,0.869687549,0.824538377,0.528666278,0.558401636,0.566690424,0.635822765,1.25734378
26,1.095871731,0.872718385,0.833428035,0.522769052,0.561122913,0.560918608,0.635876249,1.240777739
27,1.122911192,0.857646107,0.852004504,0.521737706,0.544782418,0.560701569,0.615683858,1.18518376
28,1.123141646,0.8543019,0.851084989,0.479042694,0.541653384,0.554508782,0.632156323,1.21117936
29,1.118335744,0.854976111,0.85368593,0.515970704,0.542834827,0.577582666,0.624926883,1.191280946
30,1.088663614,0.856753817,0.842006873,0.509168187,0.568359586,0.572313461,0.588786699,1.219704923
31,1.054796271,0.842998102,0.886539673,0.49361024,0.574103689,0.548101386,0.596525663,1.180651493
32,1.064772746,0.824164043,0.841656125,0.498636838,0.563801192,0.553781019,0.595730115,1.162540406
33,1.049757839,0.851655668,0.866808375,0.500839852,0.55348312,0.547097019,0.592889454,1.188971236
34,1.080049234,0.830542105,0.863107052,0.483809949,0.575837056,0.562630057,0.595587278,1.17236789
35,1.071564472,0.827985576,0.83257082,0.505621088,0.554222761,0.554016444,0.582091143,1.179140577
36,1.083847429,0.817587162,0.865957211,0.49793663,0.577168823,0.545324376,0.581109816,1.160486177
37,1.053276586,0.823835739,0.845632634,0.500105777,0.543434371,0.549819651,0.566884455,1.127899844
38,1.067608359,0.832099702,0.851579689,0.506228165,0.573111855,0.558266191,0.580509884,1.130239093
39,1.095813919,0.807722414,0.880649401,0.513979073,0.590059462,0.546352751,0.575362001,1.135130892
