Step,0,1,2,3,4,5,6,7
0,0.198627887,0.470856538,0.459315134,0.591202513,0.429972463,0.231155733,0.256487227,0.192220346
1,-0.179551197,0.042455909,0.238756301,0.620183982,0.76011628,0.902886196,0.885513126,0.761239077
2,0.161559556,0.511500373,0.736311852,0.801008383,0.736581806,0.655994957,0.936196973,0.902640701
3,-0.3331857,0.003035823,0.091751482,0.581482158,0.806936984,0.811151846,0.90930027,0.878234955
4,0.213982925,0.325872983,0.583258138,0.709302327,0.780458337,0.810010508,0.807685496,0.904607694
5,0.319231801,0.437766407,0.624274453,0.768086062,0.883845119,0.916734458,0.892649796,0.92212365
6,-0.325938393,-0.324058663,0.068019202,0.366305253,0.81528423,0.954055428,0.947218187,0.94559387
7,0.278103616,0.334256089,0.251391728,0.489596822,0.671337151,0.868878403,0.621423371,0.758703507
8,0.122795966,0.324013499,0.489597403,0.753969774,0.92984564,0.907294507,0.918319121,0.866580892
9,-0.083374295,-0.009695895,0.153779595,0.430183373,0.840032675,0.932651772,0.913868342,0.852124913
10,-0.271102074,-0.1462078,-0.009015245,0.455965444,0.475663062,0.800523265,0.890050052,0.781085268
11,-0.078949528,0.063224497,0.244156603,0.564461462,0.803573888,0.869725078,0.952098357,0.863201275
12,0.034762492,0.364717792,0.409873549,0.730117217,0.854615852,0.962834367,0.963387543,0.913849643
13,-0.289024274,-0.0432243,0.366667177,0.533509383,0.816769158,0.948839489,0.910309667,0.954327765
14,0.337939066,0.316960959,0.310623327,0.383975107,0.578575369,0.85893124,0.868075248,0.738174579
15,0.08896606,0.283308558,0.376125614,0.62201728,0.708452004,0.872357832,0.918942922,0.852653788
16,-0.125682259,0.231309741,0.443698721,0.606123298,0.832909062,0.896265245,0.945746131,0.868393063
17,0.065742482,0.351008834,0.465570408,0.618531653,0.80980382,0.952714677,0.934489949,0.92041686
18,-0.605035341,-0.558352498,-0.355750857,0.057393088,0.640675506,0.932503643,0.969432858,0.951905253
19,-0.209119193,0.064654519,0.109940629,0.344404473,0.540297252,0.802656603,0.91228681,0.848086787
20,-0.060514629,0.014706787,0.161429831,0.350885915,0.711616727,0.863517179,0.924488139,0.886555694
21,0.184128985,0.2978225,0.411653707,0.481163772,0.696031757,0.903760745,0.959990811,0.936922461
22,0.743376344,0.733000253,0.756111764,0.791542971,0.795869504,0.821771945,0.904127643,0.841473558
23,0.366461138,0.358234709,0.497915718,0.563357992,0.762291435,0.891703899,0.967183041,0.923901701
24,0.512025803,0.576792796,0.674517195,0.776203916,0.819225246,0.907112804,0.970709315,0.961483619
25,-0.028171014,0.052830409,0.26266011,0.427633363,0.773197537,0.904505302,0.952065879,0.946140459
26,-0.157643395,-0.138521821,-0.048406047,0.13412446,0.535220869,0.745149573,0.944526865,0.940811741
27,0.006656532,0.016868517,0.197800304,0.30466459,0.574206097,0.791704729,0.923739447,0.958417567
28,0.346563916,0.330127796,0.468428865,0.635021095,0.793312556,0.92169109,0.966220939,0.974280988
29,0.326834176,0.404926159,0.378341512,0.511566421,0.58665942,0.771946651,0.921617208,0.955986677
30,0.288220294,0.241395375,0.295922908,0.558907398,0.664549628,0.827258434,0.966132578,0.974264724
31,-0.030603991,0.082263912,0.119536878,0.273864733,0.500857371,0.772376271,0.889322229,0.904714237
32,0.055628785,0.182220171,0.324185975,0.508615127,0.653621488,0.864556253,0.973176005,0.980090695
33,-0.200231752,-0.010735443,0.162777669,0.519875779,0.753466216,0.901771964,0.970579759,0.984494654
34,0.431402755,0.519049188,0.630579099,0.650515895,0.816483601,0.873346579,0.966671418,0.985374724
35,-0.376724602,-0.450228651,-0.442160375,-0.327422472,-0.011489999,0.574062921,0.909337428,0.980389045
36,0.324721493,0.300984481,0.217123425,0.558051935,0.744193117,0.913663491,0.972727349,0.992696476
37,-0.110606974,-0.105866769,0.150989555,0.338049016,0.627174612,0.86306587,0.957610838,0.986843191
38,-0.182829703,-0.035062117,0.070505134,0.332225817,0.428375455,0.851146883,0.958911176,0.992232497
39,0.03275771,0.090909555,0.275830386,0.458147594,0.777337017,0.909261675,0.967505721,0.994373767
40,-0.385392564,-0.456104681,-0.447935774,-0.207956283,0.084602924,0.688429447,0.878686317,0.989494889
41,-0.404197447,-0.344720872,-0.165145266,0.191492086,0.574940716,0.836326944,0.891105322,0.994074732
42,0.092672317,-0.024151611,0.043437779,0.059439179,0.295413722,0.647189838,0.912065786,0.995610759
43,0.181523334,0.295930913,0.207331325,0.45013407,0.540264666,0.79618535,0.9126528,0.994327002
44,0.405035012,0.23505007,0.347266916,0.346030416,0.648293865,0.801129497,0.908965355,0.993671879
45,-0.243331516,-0.197579683,0.082512812,0.392434452,0.689036677,0.896795144,0.953170886,0.997649974
46,0.222812011,0.141836078,0.11137134,0.318409016,0.556368433,0.753635241,0.912765204,0.996294887
47,-0.245119368,-0.058613088,0.076693571,0.268892036,0.548315221,0.699040636,0.869935914,0.996683512
48,-0.08246948,-0.013224445,-0.17038496,0.016957305,0.2903855,0.55569001,0.915324068,0.998131043
49,0.265687892,0.228217983,0.395673892,0.520497691,0.72825957,0.809126,0.911061281,0.997985485
50,0.103735328,0.019326025,-0.023542339,0.145398066,0.241750888,0.729691432,0.862782127,0.99797787
51,-0.043482271,0.083437644,0.292413794,0.515458416,0.742963176,0.815435368,0.923320866,0.997997066
52,0.052405492,0.254518446,0.277875646,0.463520015,0.669407655,0.836178811,0.899769207,0.998801838
53,-0.155522237,-0.08294737,-0.046758841,0.094006813,0.413034003,0.728069663,0.934690259,0.99921318
54,0.426928711,0.416286539,0.484466957,0.616791151,0.748126124,0.845325008,0.936960369,0.999250421
55,0.257258291,0.218142804,0.221661287,0.456241767,0.524211242,0.790991098,0.869265804,0.999299837
56,-0.276068868,-0.174945701,0.01902291,0.247455827,0.362159187,0.750371017,0.933106408,0.999438336
57,0.066849107,0.23007303,0.316676258,0.463090291,0.723020155,0.791019255,0.905959691,0.999497069
58,-0.04477664,-0.105893866,0.137042195,0.365993739,0.551959837,0.823302324,0.910252399,0.999427021
59,0.11386957,0.190243741,0.31904388,0.397804469,0.615620176,0.818743749,0.891872054,0.999432539
60,0.078689454,0.009600481,0.183955296,0.469668766,0.533507374,0.780819246,0.883375791,0.999643811
61,-0.009571729,-0.170770747,-0.095636498,0.07902188,0.411663644,0.674776921,0.911203812,0.99980757
62,0.145104511,0.169587368,0.308487964,0.43091957,0.696943942,0.782994678,0.900727903,0.999616654
63,0.002038295,0.026055778,0.114112146,0.383055609,0.548515681,0.788002018,0.917818699,0.999733373
64,-0.191705057,-0.199331872,-0.111899349,0.074792796,0.497941477,0.726007092,0.892706595,0.999714143
65,-0.03234898,-0.204055689,0.004184639,0.224806962,0.550535446,0.823008578,0.947759769,0.999872519
66,-0.570161053,-0.446414012,-0.485336678,-0.419913281,-0.031597643,0.40962416,0.892442181,0.999927453
67,-0.066945213,-0.072442243,-0.082206188,0.10180888,0.421059761,0.742886986,0.935652653,0.999873561
68,-0.044444494,-0.122980339,-0.108749714,0.061652063,0.488904025,0.855342756,0.957309816,0.999970252
69,-0.156047004,-0.091549688,-0.039813691,0.284293535,0.625761103,0.85145121,0.946568944,0.999898531
70,0.25941303,0.236801326,0.400755868,0.637335166,0.764540382,0.853066971,0.920867111,0.999931954
71,0.237544287,0.175052644,0.234573714,0.420121852,0.576177683,0.802216851,0.937644501,0.999940628
72,-0.072794927,-0.046886539,0.048627065,0.427309525,0.717744007,0.884789154,0.964198169,0.999931453
73,0.051907221,-0.171913215,0.040258217,0.333458239,0.697972778,0.865529689,0.952158025,0.999950556
74,0.060034622,0.023613342,0.180597598,0.343846023,0.675312148,0.856071889,0.945848991,0.999952246
75,0.021196307,0.021196307,-0.023777807,0.213575727,0.449316438,0.677707918,0.876351962,0.999942806
76,-0.492618742,-0.492618742,-0.297660133,-0.056668484,0.290716629,0.725679997,0.928282263,0.99993439
77,0.468804931,0.468804931,0.427635099,0.509705216,0.684244482,0.748211752,0.875446882,0.999801997
78,-0.384375864,-0.384375864,-0.271836591,-0.26337106,-0.046485207,0.282648799,0.786052696,0.999754797
79,0.065657846,0.065657846,0.060716527,0.114764911,0.186298193,0.410408932,0.661859816,0.998942631
80,0.221518085,0.221518085,0.185982621,0.240292391,0.329001606,0.331092735,0.300011062,0.995237708
81,0.610240002,0.610240002,0.610240002,0.520022896,0.601010915,0.575131846,0.595952469,0.992347164
82,-0.315949397,-0.315949397,-0.315949397,-0.214459676,-0.261352404,-0.210443987,0.026831046,0.992193425
83,0.25415196,0.25415196,0.25415196,0.270799665,0.317475193,0.334167521,0.462042041,0.989562924
84,-0.414523693,-0.414523693,-0.414523693,-0.240319334,-0.286317425,-0.157611135,-0.005664988,0.99210221
85,0.23977268,0.23977268,0.23977268,0.282427712,0.241450579,0.158970821,0.193847327,0.995784797
86,-0.078876826,-0.078876826,-0.078876826,0.090154951,0.165536859,0.194580696,0.358342057,0.991067665
87,-0.155839544,-0.155839544,-0.155839544,-0.112680272,0.013611535,0.129503331,0.318017513,0.982940157
88,0.055214066,0.055214066,0.055214066,0.171914035,0.200710835,0.283494625,0.430561655,0.984583359
89,0.01109179,0.01109179,0.01109179,0.056929,0.078852397,0.070097869,0.055689027,0.989322261
90,0.097033806,0.097033806,0.097033806,0.184032376,0.256067032,0.290630187,0.273273394,0.993358758
91,0.31552461,0.31552461,0.31552461,0.253853753,0.301203558,0.213293508,0.187494837,0.985256854
92,-0.329503882,-0.329503882,-0.329503882,-0.218584761,-0.280150008,-0.224869321,-0.030053438,0.987238817
93,0.26223938,0.26223938,0.26223938,0.295124089,0.320663379,0.331681612,0.336389523,0.979846701
94,-0.045663248,-0.045663248,-0.045663248,-0.05211825,-0.083660436,-0.094323674,-0.055264718,0.994971146
95,-0.078122018,-0.078122018,-0.078122018,-0.097601514,-0.107391976,-0.136309281,-0.176518459,0.990588454
96,0.024825335,0.024825335,0.024825335,-0.047752853,0.023695821,0.006084129,-0.008418911,0.993495313
97,0.422099334,0.422099334,0.422099334,0.321361369,0.436519841,0.410348456,0.371282213,0.971210229
98,-0.00067245,-0.00067245,-0.00067245,-0.029116219,0.002116009,0.042971273,0.109885219,0.983886653
99,-0.189823731,-0.189823731,-0.189823731,0.015137938,0.061420818,0.19254781,0.17392702,0.982194792
100,-0.169100061,-0.169100061,-0.169100061,0.031842172,0.054407799,0.236359131,0.276902138,0.98505287
101,0.025058071,0.025058071,0.025058071,0.147237657,0.281836005,0.452482201,0.474738003,0.986838035
102,-0.013472382,-0.013472382,-0.013472382,0.034793431,-0.023621694,0.044658449,0.18308757,0.974581595
103,-0.037078465,-0.037078465,-0.037078465,0.049285919,0.114284469,0.197721671,0.270403266,0.963280059
104,0.44756209,0.44756209,0.44756209,0.397846715,0.381429824,0.465800921,0.478920908,0.964247441
105,-0.063186461,-0.063186461,-0.063186461,-0.086590514,-0.073571494,-0.031640702,0.001702014,0.979156352
106,0.283994455,0.283994455,0.283994455,0.043147273,0.208251517,0.193442223,0.156060354,0.99287677
107,-0.209554351,-0.209554351,-0.209554351,-0.030395844,-0.083223007,-0.058926548,0.023367117,0.97466639
108,0.19708026,0.19708026,0.19708026,0.349910987,0.431046151,0.522240577,0.533364152,0.988686894
109,0.396977111,0.396977111,0.396977111,0.393665814,0.466524839,0.450988043,0.422123461,0.946153612
110,0.466802015,0.466802015,0.466802015,0.135312167,0.349123547,0.349386781,0.313645406,0.986374698
111,0.497661801,0.497661801,0.497661801,0.335842735,0.329204867,0.389375055,0.335166494,0.971355123
112,-0.184139829,-0.184139829,-0.184139829,0.107620554,0.071573822,0.20740476,0.221795307,0.981431946
113,0.37923288,0.37923288,0.37923288,0.302541502,0.31622741,0.309880471,0.277254178,0.980828094
114,0.058157397,0.058157397,0.058157397,-0.001255289,0.109707498,0.189081835,0.205780373,0.973493254
115,0.346772511,0.346772511,0.346772511,0.236234896,0.236091523,0.260117831,0.268395902,0.96703105
116,0.573245597,0.573245597,0.573245597,0.42364439,0.42863855,0.3865067,0.414263753,0.979410367
117,0.31328415,0.31328415,0.31328415,0.119446601,0.10753018,0.123102918,0.127558666,0.955431611
118,0.259019634,0.259019634,0.259019634,0.025097722,0.122047215,0.133799796,0.201923304,0.973701372
119,0.08537611,0.08537611,0.08537611,-0.020465201,-0.027923417,0.005770164,0.11042082,0.961967962
120,0.092114294,0.092114294,0.092114294,0.203398403,0.043044893,0.230488736,0.192714575,0.976945098
121,0.471679724,0.471679724,0.471679724,0.242534771,0.334061125,0.292725726,0.28465456,0.95190771
122,-0.026816149,-0.026816149,-0.026816149,0.000691495,0.020238517,0.079156748,0.161137382,0.953915704
123,0.142827271,0.142827271,0.142827271,0.068921623,0.007399077,0.0823355,0.167851889,0.980687865
124,0.130021738,0.130021738,0.130021738,0.165524945,0.105228384,0.136816547,0.256845941,0.984548764
125,0.605593576,0.605593576,0.605593576,0.387520812,0.534929064,0.480855866,0.504409224,0.976652401
126,-0.280459338,-0.280459338,-0.280459338,-0.060300235,-0.147062491,-0.00256326,0.052916188,0.976739902
127,0.232614545,0.232614545,0.232614545,0.032707302,0.176106145,0.132084416,0.097063209,0.975620715
128,0.228249725,0.228249725,0.228249725,0.14176124,0.193720687,0.18017041,0.147022874,0.936653494
129,0.392657467,0.392657467,0.392657467,0.378731122,0.552025774,0.557619441,0.54857882,0.978129712
130,0.388248026,0.388248026,0.388248026,0.166937906,0.289228092,0.191771633,0.190312438,0.984469262
131,-0.106418533,-0.106418533,-0.106418533,-0.081720592,-0.064032322,-0.14014527,-0.116911814,0.978832049
132,0.149701818,0.149701818,0.149701818,0.010573504,0.154820608,0.024548378,0.04600959,0.982358049
133,0.24570466,0.24570466,0.24570466,0.17254419,0.13326437,0.091678463,0.095108223,0.962690161
134,-0.116721768,-0.116721768,-0.116721768,0.020697741,0.1400199,0.157103355,0.205394174,0.959196082
135,0.407670199,0.407670199,0.407670199,0.263908149,0.3405198,0.391256465,0.317565643,0.965807732
136,0.085806535,0.085806535,0.085806535,-0.0012723,0.104024393,0.061224312,0.232419347,0.978193151
137,0.173535115,0.173535115,0.173535115,0.380959568,0.251627852,0.274969728,0.339188874,0.981409486
138,0.131981546,0.131981546,0.131981546,0.215620295,0.130408261,0.001541118,0.091723188,0.986102051
139,0.067945891,0.067945891,0.067945891,0.168885808,0.148882525,0.09013536,0.276127937,0.977209136
140,0.055416493,0.055416493,0.055416493,0.090227199,0.193386961,0.228533677,0.239726599,0.949368799
141,-0.467930251,-0.467930251,-0.467930251,-0.248972336,-0.376797752,-0.29643069,-0.258156434,0.96151568
142,0.366479152,0.366479152,0.366479152,0.284068209,0.358626358,0.372278179,0.367363357,0.959712135
143,-0.224564304,-0.224564304,-0.224564304,0.129170428,-0.021538458,0.038052325,0.061212918,0.972633885
144,0.078822459,0.078822459,0.078822459,0.078822459,0.191437629,0.3576432,0.233120036,0.964781572
145,0.121551297,0.121551297,0.121551297,0.121551297,0.028910391,0.150799804,0.161837195,0.972667947
146,-0.400893541,-0.400893541,-0.400893541,-0.400893541,-0.37729803,-0.240431178,-0.218100821,0.970054461
147,-0.028182614,-0.028182614,-0.028182614,-0.028182614,0.028853727,0.142240754,0.170509245,0.967525719
148,0.122931983,0.122931983,0.122931983,0.122931983,0.310919897,0.36468347,0.359720985,0.924069411
149,-0.332302584,-0.332302584,-0.332302584,-0.332302584,-0.241142957,-0.124694821,-0.201869454,0.964856648
150,0.012793399,0.012793399,0.012793399,0.012793399,0.028696216,-0.109241927,0.010905462,0.980061576
151,0.078735105,0.078735105,0.078735105,0.078735105,0.295157284,0.377903192,0.378881661,0.97918869
152,-0.071745701,-0.071745701,-0.071745701,-0.071745701,-0.126485287,0.08172198,0.08659741,0.980601348
153,-0.080979344,-0.080979344,-0.080979344,-0.080979344,-0.007838703,-0.026682537,0.033278301,0.950962113
154,-0.200365589,-0.200365589,-0.200365589,-0.200365589,-0.006119751,-0.154050483,-0.040735176,0.954947873
155,0.407658317,0.407658317,0.407658317,0.407658317,0.366960058,0.346631329,0.365566754,0.960894474
