Step,0,1,2,3,4,5,6,7
0,1.080106139,1.402538776,1.622220635,1.818396211,2.007478476,2.176776648,2.380050898,3.210012436
1,0.650736332,1.012032866,1.239115834,1.440674067,1.660601616,1.92647469,2.289939642,3.196290016
2,0.415798008,0.766724825,1.015105486,1.240438342,1.481185675,1.775269389,2.209466934,3.309011936
3,0.248378679,0.569812179,0.837068617,1.091823936,1.365744591,1.703009367,2.187832355,3.328714371
4,0.185052514,0.465431839,0.73313874,0.99042654,1.266346931,1.606263399,2.084871769,3.31429553
5,0.153133988,0.388755769,0.639936745,0.909269035,1.209418297,1.571309686,2.0917449,3.359104633
6,0.083265647,0.262268841,0.491961956,0.76927042,1.092960715,1.492129087,2.053734303,3.383087397
7,0.072899006,0.236681283,0.447268873,0.701483905,1.003635883,1.37646389,1.920365572,3.238077164
8,0.0654741,0.213865697,0.417161167,0.673319817,0.980227172,1.363618135,1.907827854,3.193655968
9,0.04195242,0.162909165,0.348079145,0.598067343,0.909239471,1.292441368,1.84232223,3.162133455
10,0.031332619,0.132645756,0.293214262,0.518767416,0.800346196,1.168482304,1.727602601,3.115518808
11,0.024450416,0.108831748,0.255539387,0.467743605,0.748166084,1.124610901,1.69775188,3.127023697
12,0.025182202,0.115342952,0.262196004,0.464765698,0.745018423,1.142591596,1.744125605,3.169422865
13,0.013072426,0.070871718,0.188202858,0.381711841,0.656825542,1.041194558,1.639956594,3.163058758
14,0.01702629,0.080133624,0.192596525,0.365486026,0.610408902,0.95515883,1.486363769,2.849973679
15,0.011026809,0.059505995,0.155671686,0.316010594,0.549337387,0.892401457,1.456375003,2.893404007
16,0.00946509,0.052825786,0.142716914,0.29874751,0.539791226,0.89328438,1.459823489,2.958819389
17,0.007826812,0.0460159,0.127497971,0.26831454,0.49204579,0.83075577,1.381219268,2.860747576
18,0.004648893,0.029447326,0.09067592,0.209137484,0.417271107,0.761335075,1.332811117,2.862959385
19,0.004450835,0.03035295,0.091446243,0.204218358,0.387727976,0.687613368,1.216902018,2.685753822
20,0.004990195,0.030890301,0.08908093,0.195771277,0.378342241,0.679053128,1.190928698,2.629342794
21,0.002946321,0.021756127,0.072117746,0.170258984,0.336817503,0.614315927,1.126260519,2.614233494
22,0.003969733,0.02679668,0.079330564,0.173976526,0.329497188,0.5816558,1.030486584,2.374996662
23,0.002602523,0.019891402,0.062102083,0.143820912,0.287323892,0.533392847,1.0007056,2.425036192
24,0.002175359,0.017292403,0.057247002,0.136854649,0.278218836,0.522650361,0.980537891,2.402060747
25,0.001387379,0.012271763,0.043725997,0.109714285,0.235432655,0.458465546,0.883306563,2.234540224
26,0.000837675,0.008149981,0.031096641,0.08292485,0.186099589,0.389925301,0.811671078,2.189271927
27,0.000606772,0.006771366,0.028547149,0.07929787,0.180058554,0.373662382,0.768650949,2.14622879
28,0.000495199,0.006083359,0.02537219,0.071560979,0.165980041,0.350259304,0.755125165,2.186646938
29,0.00037271,0.004580414,0.019960538,0.057064142,0.132965103,0.290223837,0.640728593,2.007094622
30,0.000363876,0.004312339,0.018900186,0.055174567,0.132902518,0.296388149,0.657361865,1.940651894
31,0.000246421,0.003368033,0.015567986,0.046056241,0.112165086,0.248666838,0.550650418,1.711167812
32,0.000216139,0.003154801,0.014699652,0.045288097,0.11633949,0.269588679,0.630056977,1.921283126
33,8.0389E-05,0.001637752,0.009467406,0.033631664,0.09340734,0.22866258,0.55830276,1.819625974
34,0.000118936,0.002133646,0.010750355,0.033904195,0.086624295,0.203469843,0.487994999,1.667697191
35,4.84395E-05,0.00094274,0.005536963,0.02008467,0.058371503,0.153834984,0.413215697,1.539381146
36,5.19071E-05,0.001093634,0.006422059,0.02332167,0.067646615,0.176145002,0.459359229,1.676481605
37,3.05384E-05,0.000731128,0.004694068,0.017764036,0.054340463,0.150634587,0.415262073,1.596388698
38,1.4225E-05,0.000393418,0.002863875,0.01215893,0.039728768,0.114647493,0.336418122,1.46553123
39,1.06211E-05,0.000359013,0.002735352,0.012081567,0.040889647,0.124668948,0.375368118,1.596148729
40,3.87046E-06,0.000145712,0.001313434,0.006482672,0.023969498,0.078041315,0.263574243,1.340241432
41,2.34531E-06,0.000114358,0.001171627,0.006134748,0.023457553,0.078374885,0.270048738,1.445840478
42,3.62625E-06,0.000146257,0.001226426,0.005650386,0.019974936,0.06396465,0.21346271,1.196883798
43,2.66277E-06,0.000127796,0.001123155,0.00531857,0.018602528,0.058249872,0.184941873,1.015699387
44,1.36816E-06,6.86976E-05,0.000679945,0.003505816,0.013480416,0.044387508,0.149260327,0.937562823
45,5.29E-07,3.23133E-05,0.000384769,0.00235032,0.010860519,0.043222889,0.182710603,1.256197929
46,7.50E-07,4.44638E-05,0.000491841,0.002663892,0.01066542,0.038809177,0.147995964,1.047531128
47,3.83E-07,2.65191E-05,0.000336947,0.002054297,0.008636075,0.031103279,0.113565974,0.798745096
48,2.65E-07,1.81394E-05,0.000239249,0.001476114,0.006614846,0.026014009,0.110313632,0.95979017
49,2.24E-07,1.55046E-05,0.000221602,0.001410816,0.00619714,0.023739001,0.097179659,0.858758748
50,2.13E-07,1.20753E-05,0.000160467,0.001053058,0.004901818,0.020059735,0.09050303,0.862423301
51,1.51E-07,9.89185E-06,0.000163856,0.001222789,0.006553395,0.029666793,0.143551812,1.298066139
52,1.33E-07,6.70071E-06,0.000115482,0.000848871,0.004116626,0.01766845,0.079746515,0.836768746
53,1.25E-07,4.80405E-06,8.1241E-05,0.000609869,0.003234583,0.014554846,0.074292272,0.849257052
54,1.56E-07,8.39905E-06,0.000121618,0.000835459,0.00411384,0.017263558,0.078942008,0.838474274
55,1.20E-07,3.6685E-06,6.22401E-05,0.000455231,0.002360287,0.010432038,0.051692843,0.675228536
56,1.19E-07,2.20389E-06,4.39637E-05,0.000388065,0.002273431,0.011639589,0.067442566,0.916521192
57,1.19E-07,1.43677E-06,3.29079E-05,0.00029951,0.0018141,0.009326134,0.052671261,0.791642725
58,1.19E-07,1.41113E-06,3.33618E-05,0.000316736,0.001996259,0.011209985,0.069888666,1.065469861
59,1.19E-07,8.14E-07,2.01988E-05,0.000200102,0.001270322,0.006687627,0.038890012,0.680046082
60,1.19E-07,5.90E-07,1.53641E-05,0.000152959,0.000949386,0.005128786,0.029629789,0.53486228
61,1.19E-07,4.80E-07,1.16513E-05,0.000118855,0.000750287,0.003887561,0.021761077,0.445695013
62,1.19E-07,2.73E-07,7.1438E-06,8.31763E-05,0.00058092,0.003292709,0.020444471,0.505680025
63,1.19E-07,4.30E-07,1.19095E-05,0.000132023,0.000908229,0.005082821,0.033341859,0.705198288
64,1.19E-07,3.11E-07,8.54639E-06,9.69175E-05,0.000676454,0.004008297,0.0274706,0.656699121
65,1.19E-07,2.19E-07,5.6531E-06,6.61597E-05,0.000505444,0.003260829,0.024915142,0.634078801
66,1.19E-07,1.25E-07,2.00158E-06,2.5688E-05,0.000196269,0.001217856,0.0081975,0.25785017
67,1.19E-07,1.44E-07,2.77634E-06,3.45112E-05,0.000276943,0.001868733,0.014626278,0.489755929
68,1.19E-07,1.26E-07,1.97584E-06,2.55453E-05,0.00021904,0.001543437,0.012041012,0.454784185
69,1.19E-07,1.35E-07,2.94184E-06,4.51116E-05,0.000441894,0.003500629,0.030624688,0.925920486
70,1.19E-07,1.64E-07,4.1044E-06,5.30698E-05,0.000414612,0.002762742,0.020747527,0.761947751
71,1.19E-07,1.51E-07,3.11314E-06,3.85112E-05,0.000306872,0.002061739,0.015071971,0.538346887
72,1.19E-07,1.58E-07,4.07456E-06,5.57646E-05,0.000449309,0.003091106,0.024186492,0.722411513
73,1.19E-07,1.29E-07,2.42301E-06,3.48069E-05,0.000302336,0.002161885,0.017187491,0.603301287
74,1.19E-07,1.23E-07,2.00902E-06,2.89066E-05,0.000244863,0.001692986,0.013064839,0.506891251
75,1.19E-07,1.19E-07,8.40E-07,1.30921E-05,0.000126028,0.000944343,0.007685752,0.366211861
76,1.19E-07,1.19E-07,4.47E-07,7.18564E-06,6.85443E-05,0.0005322,0.004510813,0.202970833
77,1.19E-07,1.19E-07,5.63E-07,7.80188E-06,6.26559E-05,0.000390718,0.002625403,0.108163096
78,1.19E-07,1.19E-07,1.70E-07,2.23196E-06,1.94061E-05,0.000128806,0.00092356,0.03745367
79,1.19E-07,1.19E-07,1.49E-07,1.74103E-06,1.44672E-05,9.06385E-05,0.000538263,0.008248054
80,1.19E-07,1.19E-07,1.31E-07,1.29904E-06,1.14033E-05,7.23089E-05,0.000434081,0.00612436
81,1.19E-07,1.19E-07,1.22E-07,1.07111E-06,9.65446E-06,6.21909E-05,0.000382821,0.005181876
82,1.19E-07,1.19E-07,1.19E-07,8.53E-07,7.94829E-06,5.31879E-05,0.000339004,0.004656375
83,1.19E-07,1.19E-07,1.19E-07,7.61E-07,7.31706E-06,4.92156E-05,0.000315674,0.00415403
84,1.19E-07,1.19E-07,1.19E-07,6.51E-07,6.37081E-06,4.40834E-05,0.000288098,0.003844822
85,1.19E-07,1.19E-07,1.19E-07,6.01E-07,5.9786E-06,4.13627E-05,0.000272973,0.003572734
86,1.19E-07,1.19E-07,1.19E-07,5.31E-07,5.41716E-06,3.82233E-05,0.000255308,0.003308259
87,1.19E-07,1.19E-07,1.19E-07,4.82E-07,4.99713E-06,3.57907E-05,0.000241886,0.003113343
88,1.19E-07,1.19E-07,1.19E-07,4.50E-07,4.70077E-06,3.39027E-05,0.000231007,0.002941566
89,1.19E-07,1.19E-07,1.19E-07,4.11E-07,4.36132E-06,3.17597E-05,0.000218344,0.002787169
90,1.19E-07,1.19E-07,1.19E-07,3.85E-07,4.13125E-06,3.04158E-05,0.000209947,0.002660696
91,1.19E-07,1.19E-07,1.19E-07,3.61E-07,3.89812E-06,2.88609E-05,0.000201326,0.002521998
92,1.19E-07,1.19E-07,1.19E-07,3.36E-07,3.61041E-06,2.71829E-05,0.000192777,0.002422447
93,1.19E-07,1.19E-07,1.19E-07,3.20E-07,3.4801E-06,2.6354E-05,0.000186882,0.002308301
94,1.19E-07,1.19E-07,1.19E-07,3.03E-07,3.29139E-06,2.51391E-05,0.000179586,0.002242709
95,1.19E-07,1.19E-07,1.19E-07,2.86E-07,3.123E-06,2.4064E-05,0.000172694,0.00214757
96,1.19E-07,1.19E-07,1.19E-07,2.74E-07,3.01436E-06,2.33449E-05,0.000168241,0.002073643
97,1.19E-07,1.19E-07,1.19E-07,2.64E-07,2.90719E-06,2.26448E-05,0.000164133,0.001990397
98,1.19E-07,1.19E-07,1.19E-07,2.51E-07,2.74596E-06,2.16316E-05,0.000158498,0.001936582
99,1.19E-07,1.19E-07,1.19E-07,2.42E-07,2.66345E-06,2.11252E-05,0.000155053,0.001870121
100,1.19E-07,1.19E-07,1.19E-07,2.34E-07,2.57483E-06,2.05109E-05,0.000151349,0.001813948
101,1.19E-07,1.19E-07,1.19E-07,2.27E-07,2.4976E-06,1.99848E-05,0.000148008,0.001757149
102,1.19E-07,1.19E-07,1.19E-07,2.17E-07,2.36962E-06,1.91247E-05,0.000142869,0.001709015
103,1.19E-07,1.19E-07,1.19E-07,2.11E-07,2.30419E-06,1.86695E-05,0.000139767,0.001651882
104,1.19E-07,1.19E-07,1.19E-07,2.05E-07,2.24538E-06,1.82451E-05,0.000136994,0.001609909
105,1.19E-07,1.19E-07,1.19E-07,1.98E-07,2.14465E-06,1.76185E-05,0.000132956,0.001568546
106,1.19E-07,1.19E-07,1.19E-07,1.94E-07,2.10859E-06,1.72684E-05,0.000130585,0.00153834
107,1.19E-07,1.19E-07,1.19E-07,1.89E-07,2.01803E-06,1.66951E-05,0.000127101,0.001492348
108,1.19E-07,1.19E-07,1.19E-07,1.86E-07,1.99681E-06,1.65583E-05,0.000126088,0.001457366
109,1.19E-07,1.19E-07,1.19E-07,1.82E-07,1.93457E-06,1.6089E-05,0.000122927,0.00141723
110,1.19E-07,1.19E-07,1.19E-07,1.76E-07,1.88153E-06,1.57262E-05,0.000120571,0.001391754
111,1.19E-07,1.19E-07,1.19E-07,1.73E-07,1.82678E-06,1.53673E-05,0.000118448,0.00135799
112,1.19E-07,1.19E-07,1.19E-07,1.69E-07,1.76096E-06,1.49761E-05,0.00011578,0.001329529
113,1.19E-07,1.19E-07,1.19E-07,1.66E-07,1.72858E-06,1.46604E-05,0.000113751,0.001299759
114,1.19E-07,1.19E-07,1.19E-07,1.63E-07,1.67017E-06,1.43054E-05,0.000111394,0.001272453
115,1.19E-07,1.19E-07,1.19E-07,1.60E-07,1.63469E-06,1.40429E-05,0.000109807,0.00124723
116,1.19E-07,1.19E-07,1.19E-07,1.59E-07,1.60614E-06,1.38324E-05,0.000108124,0.001222122
117,1.19E-07,1.19E-07,1.19E-07,1.55E-07,1.5524E-06,1.34749E-05,0.000105805,0.001196926
118,1.19E-07,1.19E-07,1.19E-07,1.53E-07,1.51404E-06,1.32143E-05,0.000104221,0.001177565
119,1.19E-07,1.19E-07,1.19E-07,1.50E-07,1.47525E-06,1.29185E-05,0.000102369,0.001153059
120,1.19E-07,1.19E-07,1.19E-07,1.49E-07,1.44988E-06,1.27403E-05,0.000100983,0.001133078
121,1.19E-07,1.19E-07,1.19E-07,1.47E-07,1.42289E-06,1.25292E-05,9.94874E-05,0.001110368
122,1.19E-07,1.19E-07,1.19E-07,1.44E-07,1.38181E-06,1.22543E-05,9.78551E-05,0.001089845
123,1.19E-07,1.19E-07,1.19E-07,1.42E-07,1.35103E-06,1.20405E-05,9.65153E-05,0.001073508
124,1.19E-07,1.19E-07,1.19E-07,1.41E-07,1.32707E-06,1.18471E-05,9.52945E-05,0.001056101
125,1.19E-07,1.19E-07,1.19E-07,1.40E-07,1.31495E-06,1.17372E-05,9.41932E-05,0.001036106
126,1.19E-07,1.19E-07,1.19E-07,1.38E-07,1.26804E-06,1.14466E-05,9.22363E-05,0.001020248
127,1.19E-07,1.19E-07,1.19E-07,1.37E-07,1.25068E-06,1.1276E-05,9.09987E-05,0.001001962
128,1.19E-07,1.19E-07,1.19E-07,1.36E-07,1.22146E-06,1.10892E-05,8.97131E-05,0.000985343
129,1.19E-07,1.19E-07,1.19E-07,1.35E-07,1.21357E-06,1.10032E-05,8.90869E-05,0.000970389
130,1.19E-07,1.19E-07,1.19E-07,1.34E-07,1.18629E-06,1.07885E-05,8.76921E-05,0.000956089
131,1.19E-07,1.19E-07,1.19E-07,1.33E-07,1.14944E-06,1.05367E-05,8.60686E-05,0.000940811
132,1.19E-07,1.19E-07,1.19E-07,1.32E-07,1.13258E-06,1.03982E-05,8.51456E-05,0.000927413
133,1.19E-07,1.19E-07,1.19E-07,1.32E-07,1.1112E-06,1.02722E-05,8.40695E-05,0.000911944
134,1.19E-07,1.19E-07,1.19E-07,1.30E-07,1.09246E-06,1.01198E-05,8.31724E-05,0.000898831
135,1.19E-07,1.19E-07,1.19E-07,1.30E-07,1.07682E-06,1.00203E-05,8.2251E-05,0.000886029
136,1.19E-07,1.19E-07,1.19E-07,1.28E-07,1.05113E-06,9.81104E-06,8.11397E-05,0.000874891
137,1.19E-07,1.19E-07,1.19E-07,1.28E-07,1.04176E-06,9.73394E-06,8.03703E-05,0.000863212
138,1.19E-07,1.19E-07,1.19E-07,1.27E-07,1.02063E-06,9.55833E-06,7.91769E-05,0.000851868
139,1.19E-07,1.19E-07,1.19E-07,1.26E-07,1.00462E-06,9.43832E-06,7.84467E-05,0.000839072
140,1.19E-07,1.19E-07,1.19E-07,1.25E-07,9.87E-07,9.32581E-06,7.75256E-05,0.00082673
141,1.19E-07,1.19E-07,1.19E-07,1.24E-07,9.60E-07,9.13716E-06,7.63397E-05,0.000816012
142,1.19E-07,1.19E-07,1.19E-07,1.24E-07,9.60E-07,9.11276E-06,7.59946E-05,0.000805432
143,1.19E-07,1.19E-07,1.19E-07,1.23E-07,9.39E-07,8.95692E-06,7.49091E-05,0.000795267
144,1.19E-07,1.19E-07,1.19E-07,1.22E-07,9.29E-07,8.89495E-06,7.42852E-05,0.00078454
145,1.19E-07,1.19E-07,1.19E-07,1.22E-07,9.13E-07,8.76483E-06,7.34278E-05,0.000775109
146,1.19E-07,1.19E-07,1.19E-07,1.21E-07,8.88E-07,8.59273E-06,7.23284E-05,0.000766076
147,1.19E-07,1.19E-07,1.19E-07,1.21E-07,8.81E-07,8.5368E-06,7.18361E-05,0.000756428
148,1.19E-07,1.19E-07,1.19E-07,1.21E-07,8.75E-07,8.45464E-06,7.12931E-05,0.00074595
149,1.19E-07,1.19E-07,1.19E-07,1.20E-07,8.52E-07,8.30088E-06,7.01468E-05,0.000738077
150,1.19E-07,1.19E-07,1.19E-07,1.20E-07,8.41E-07,8.19058E-06,6.95189E-05,0.000730651
151,1.19E-07,1.19E-07,1.19E-07,1.20E-07,8.39E-07,8.17962E-06,6.93043E-05,0.000720989
152,1.19E-07,1.19E-07,1.19E-07,1.19E-07,8.17E-07,8.03882E-06,6.82529E-05,0.000714095
153,1.19E-07,1.19E-07,1.19E-07,1.19E-07,8.07E-07,7.92946E-06,6.75363E-05,0.000703997
154,1.19E-07,1.19E-07,1.19E-07,1.19E-07,7.96E-07,7.83657E-06,6.6896E-05,0.000696301
