Step,0,1,2,3,4,5,6,7
0,3.154681072,2.824282321,2.686197549,1.987632795,1.87799966,2.468213238,2.688564568,4.207871089
1,3.748934852,2.391840678,1.808403762,1.87355646,1.893735282,2.69524721,3.801666424,7.828692309
2,2.971141382,2.802203545,1.960533753,2.166337668,1.675580754,2.133231304,4.582758043,10.4180136
3,2.328353443,2.526511215,1.976039431,1.827391592,2.156097966,3.09888253,5.270946278,8.877446767
4,2.014930949,2.966846396,2.429469029,1.960059886,2.078218258,3.33609186,5.255163836,8.775045231
5,1.324415354,2.391679414,2.522091471,2.489912341,2.370502522,3.922145797,6.143396655,10.96298535
6,0.893019698,1.580165745,1.816395694,1.5887283,2.337134566,4.752032928,6.861731478,12.33565817
7,0.756429732,1.519762983,1.795347316,1.913325813,1.429796315,2.739530297,3.400857762,6.174090273
8,0.70764393,1.468026403,2.222774693,2.606932891,3.274433981,3.782751913,5.418936583,8.286093519
9,0.529611088,1.344187299,1.717003081,2.009294694,2.447639,3.455973997,5.437197971,8.104038155
10,0.380028507,1.079585559,1.522603978,1.734103032,1.629941148,2.400835168,3.129886191,6.755751383
11,0.300901798,0.839812962,1.322304052,1.813708562,2.005174678,3.359536193,4.868239522,7.917497568
12,0.327618014,0.915047692,1.486107698,2.13521035,3.140481092,4.720047704,6.441758905,10.32043676
13,0.196864125,0.741130293,1.258628402,1.845844723,2.751655911,3.824633717,6.390264471,12.21368702
14,0.224576097,0.730111841,1.241237621,1.70080982,1.57975793,2.335855797,3.809220483,5.966545997
15,0.136333289,0.57808136,1.009936697,1.433053009,2.056487001,2.909296025,4.247495466,7.305120702
16,0.135581489,0.508461258,1.048788334,1.730214261,2.699372942,3.493805944,4.944508186,8.472494025
17,0.118364797,0.487668771,1.052569241,1.629634672,2.324041091,4.141382155,5.236571766,9.521619001
18,0.081943856,0.365891252,0.717305452,1.018404388,1.864456846,3.694923954,6.782263379,11.88272786
19,0.07441169,0.349768815,0.684495057,1.11010326,1.647767399,2.414960964,4.095836576,6.894691999
20,0.079128925,0.344015301,0.695436112,1.293634146,2.081005384,3.280386647,4.989193947,9.171887493
21,0.048443309,0.250986678,0.659900971,1.150007744,1.976614675,2.901535203,5.955464425,10.05086793
