Step,0,1,2,3,4,5,6,7
0,112.2854691,551.5993652,763.6663208,801.1995239,820.2261963,905.5102539,918.8138428,918.3016968
1,47.12085342,542.5106812,811.5402832,829.576355,836.6105957,868.4368286,855.1793823,878.6790771
2,7.617195606,254.0054474,595.3650513,782.2966309,852.1505737,854.9985352,832.0232544,770.357605
3,12.60922337,206.5867615,661.2750854,861.6147461,941.3831177,923.1733398,946.4111938,1149.76709
4,5.85323E-06,37.21359253,365.2744141,920.3478394,1236.053345,1607.565552,1820.955811,1953.675171
5,7.98142E-06,8.162341118,177.5202332,712.8834229,880.0927124,957.3284302,989.9572754,1009.203369
6,5.81724E-06,3.719199181,181.702179,496.2548218,930.5906372,1450.22168,1592.445679,1267.992188
7,2.78E-07,30.81426048,226.3258972,858.8914795,1401.49585,1695.102539,1665.091309,1515.659424
8,1.21E-08,7.87928772,56.9658165,191.8524475,645.9818726,1310.133179,1779.870239,1826.175781
9,1.52E-11,5.611516953,2.010632753,116.8654556,548.4032593,1361.466064,2246.152344,2288.567871
10,1.41E-09,1.73014E-05,14.80827904,110.0683517,355.5842285,865.394165,1620.920654,2159.009277
11,1.43E-11,5.13868E-06,0.007154794,124.9645157,427.0743713,922.7771606,1626.044434,2002.68457
12,7.60E-11,9.50E-07,0.000550814,20.93371582,130.1216888,543.5018311,1833.62146,2113.996094
13,7.70E-11,2.94163E-06,0.000646429,45.3669014,77.5412674,537.4066772,1477.786865,2403.383545
14,5.45E-12,8.63E-08,7.60122E-05,2.162895918,97.42332458,320.7869873,1220.747559,2315.981201
15,1.06E-11,2.51E-08,3.51046E-05,12.86736012,126.1408386,555.651001,1474.505981,3031.894287
16,1.16E-11,9.22E-08,0.000277612,36.81892014,180.1914215,992.2318115,1940.912964,2904.693359
17,6.97E-12,2.92E-07,0.000400167,28.59888077,129.4965668,518.4675293,1638.28833,2825.975342
18,6.06E-12,1.59E-08,8.82876E-06,0.001496914,86.35921478,228.3395233,1017.130432,3050.227539
19,6.32E-12,6.81E-10,9.93E-07,0.000349745,19.19687653,118.6209106,653.9297485,2774.534668
20,2.00E-11,1.54E-07,2.66214E-05,12.02532196,68.82454681,270.665863,984.9966431,3112.116943
21,1.00E-10,3.89E-07,7.227488518,8.344120026,93.46374512,247.1799316,862.7487183,2661.299561
22,1.27E-11,8.02E-11,1.16E-07,2.19242E-05,0.001958176,51.70171738,469.3269958,3172.534668
23,1.19E-11,9.75E-10,1.41356E-06,0.00021573,19.45189476,93.20684814,491.1860962,2641.512695
24,9.99E-12,9.28E-11,1.16122E-06,0.00035543,14.02577114,149.8640289,714.1605835,2748.793213
25,6.04E-12,1.02E-11,1.03E-08,3.75284E-06,0.000440432,19.29302788,248.1380615,2546.787598
26,2.02E-11,8.69E-12,8.57E-09,2.60722E-06,0.000292195,16.68976784,221.644455,2138.30835
27,9.82E-12,8.88E-12,1.54E-10,1.74E-07,3.9473E-05,34.97834396,147.2099609,2657.217041
28,9.56E-12,1.44E-11,4.16E-08,1.06362E-05,0.000990563,54.82427979,243.1676941,2592.25293
29,9.37E-12,7.00E-12,4.59E-08,5.60752E-05,0.001128203,59.87139511,210.7735138,2158.213867
30,6.74E-12,3.86E-11,2.46E-09,9.68E-07,0.000142523,16.39499855,205.1049652,3058.812256
31,7.56E-12,1.27E-11,1.61E-11,1.65E-08,4.3249E-06,0.000614849,42.91635132,2055.064209
32,9.17E-12,7.22E-12,2.41E-11,1.64E-09,8.68E-07,0.000249948,79.88327789,2424.217041
33,1.14805E-06,9.71E-11,3.68E-08,2.56894E-06,21.95592499,9.220168114,121.0542679,2419.273193
34,5.31E-12,7.84E-12,2.63E-11,6.14E-08,1.14896E-05,0.001066642,79.57746887,1559.674316
