Step,0,1,2,3,4,5,6,7
0,0.000163637,55.49620819,506.0463867,1516.722412,2491.7854,3820.012451,3990.190674,3568.19043
1,5.01787E-05,86.60855103,203.3101959,1336.930542,3906.512451,6062.298828,7283.899414,4935.814941
2,1.38E-09,1.22289E-05,101.6551206,67.396492,657.513916,1521.396606,5099.722656,6220.494629
3,2.38E-11,2.95E-08,4.52894E-05,0.006556615,60.1099968,842.5591431,2574.415283,5972.93457
4,1.41E-11,2.81E-08,1.01525E-05,0.001174779,150.3321228,288.4638977,1911.625,9099.981445
5,1.84E-11,2.22E-10,2.21E-07,21.84744835,0.011828733,149.5187836,1515.453003,13776.75684
6,2.13E-11,2.51E-09,8.90E-07,8.60522E-05,17.3769989,101.8967133,649.4945068,6919.141113
7,1.50E-11,2.02E-09,3.73E-07,2.97136E-05,0.001600549,15.12489319,621.2427368,7840.239258
8,2.16E-11,2.19E-11,4.25E-10,5.77E-08,4.03471E-06,0.000391272,32.56879044,3835.623779
9,2.63E-11,3.33E-11,5.05E-09,7.42E-07,6.01363E-05,13.26655102,155.675766,7525.11084
10,2.34E-11,2.51E-11,3.52E-10,4.62E-08,4.53482E-06,0.000675161,111.1264114,6405.885742
11,2.76E-11,2.43E-11,4.15E-08,4.50589E-06,0.000301062,55.34248352,168.2960968,10688.08105
12,1.45E-11,1.11E-11,2.08E-08,3.53E-07,2.1773E-05,0.00147852,66.18627167,5669.937988
13,1.74E-11,1.42E-11,1.34E-11,1.51E-09,7.62E-08,4.34014E-06,0.00077752,1728.240234
14,9.27E-12,1.05E-11,1.30E-11,9.80E-10,9.41E-08,9.89565E-06,0.002208351,2531.755859
15,1.33E-11,1.35E-11,1.05E-09,9.24E-08,4.43915E-06,9.27816E-06,48.68951797,3321.881348
16,1.44E-11,1.21E-11,1.17E-11,1.18E-09,1.03E-07,8.66068E-06,115.3478088,3849.803223
17,1.07E-11,1.14E-11,8.39E-12,1.39E-11,1.28E-09,9.80E-08,1.32532E-05,588.3841553
18,1.10E-11,1.40E-11,1.31E-11,3.14E-10,2.08E-08,1.31111E-06,0.000192991,1124.986084
19,9.41E-12,7.70E-12,8.87E-12,9.37E-12,9.87E-10,8.99E-08,1.85556E-05,447.1808777
