Step,0,1,2,3,4,5,6,7
1,7.921865463,8.116750717,7.856516838,7.480176449,7.671836376,7.546515942,8.258350372,7.819011688
2,8.955426216,8.772328377,9.021308899,8.72903347,8.850582123,8.761649132,8.79480648,9.001752853
3,12.31142521,11.7219553,12.10646057,11.78746414,12.23256874,12.08554077,11.74152279,12.37040234
4,17.03316498,16.48326111,16.08429146,16.53383827,16.13584328,17.01057053,15.92921638,17.28091621
5,23.80264473,22.87216187,23.30230522,22.68913269,20.96430397,24.15685272,21.75381851,24.41001701
6,32.02227402,32.94068146,30.92289543,29.32208633,26.22786331,32.72496033,28.7289238,33.18116379
7,42.70510483,47.80418396,41.39414597,38.14218903,34.05593491,43.98561096,38.51905441,44.55991745
8,62.15050888,55.57320786,54.32696915,54.48498917,49.98113251,59.20036316,54.45346832,58.84041977
9,68.56920624,73.41683197,75.61265564,75.43735504,71.09352112,73.29659271,81.57942963,75.04393768
10,91.01613617,87.97147369,104.7585373,109.5838928,101.5215912,82.94715118,114.9711533,99.6958847
11,114.2240219,123.0124283,128.7282104,135.1023407,151.7402649,106.322998,153.9956665,129.2162628
16,337.9078979,331.1716003,300.7902527,264.4594421,319.5234985,344.4258118,354.5575562,366.6465454
21,979.6953735,670.8140259,594.5775757,597.1387939,756.9810791,730.9642334,806.354187,884.1696777
26,1042.49707,960.6178589,1002.679199,1029.550171,918.7990723,1005.000793,1481.431641,1081.449219
31,1186.098511,1086.218384,1174.02417,1280.048462,1015.302246,1101.994263,2076.902344,1268.374146
36,1144.334717,946.6846924,868.5231934,875.5106812,827.2887573,1100.868164,932.4871216,1180.525269
41,909.5606079,666.840332,685.5097046,689.1444092,869.7229004,827.6568604,780.9419556,839.7229614
46,755.8372192,665.0004272,652.0102539,704.0280151,676.5982056,591.9108276,503.8001099,764.1187134
51,585.2225952,500.6838989,524.5011597,540.340271,535.5483398,496.7034912,484.3949585,525.7657471
56,560.3945923,590.2971191,569.3305664,586.8760986,551.0857544,606.3562622,606.9498291,583.4655151
61,337.9057007,394.0691528,372.4454346,362.6032104,327.8000793,370.5481567,372.0275879,342.9381714
66,444.7520752,475.4286194,570.1550293,487.6659546,482.0204773,554.7971802,499.613739,440.0211792
71,670.0324707,682.1846313,682.9376831,698.0956421,690.8254395,682.6679077,673.2259521,676.8809204
76,333.4510498,348.5762939,368.7894592,360.6737671,366.8057251,348.1962891,363.6676331,355.2945862
81,658.805603,648.3012695,653.5994263,656.0979614,643.5596313,663.892334,660.9388428,672.9248047
86,770.031189,797.0795288,787.9425049,788.4840698,785.0744019,779.8672485,792.6177979,788.7501221
91,705.6010742,710.7943115,703.5866089,705.8149414,699.4160156,718.8982544,710.5268555,721.4723511
96,582.2164917,558.8839111,555.343811,540.2211304,549.727356,541.729187,530.3555908,542.836853
101,652.8264771,643.4111328,659.7184448,650.0014648,640.0490112,641.8112183,678.2036133,647.8652344
106,645.6358643,596.7770386,636.543457,640.8040161,647.8209839,639.8214111,595.4766846,646.3278198
111,250.3847961,282.128418,268.7599792,281.9967957,304.8392944,248.1049347,288.2600708,281.6616516
116,224.0510254,229.5610199,235.8147278,225.5449219,238.7541962,218.0677795,225.5113068,199.451355
121,530.2203369,569.9815674,525.828186,491.6177368,516.2910156,507.2347107,519.621582,534.9110107
126,195.9056549,268.5774536,248.1164093,299.2032776,292.3241882,255.3178253,284.0643921,256.932373
131,691.6809082,575.1246948,673.512207,738.6747437,741.0982666,722.3713379,711.0611572,750.833252
136,374.6363831,497.7070007,558.3551636,568.3026733,475.6254272,509.4265442,643.0981445,607.4154663
141,202.8331604,423.1048584,280.538208,276.4705811,384.9698486,386.5621338,359.2625122,361.999939
146,686.621521,731.1974487,682.899231,759.6065674,752.621582,790.9377441,786.2042847,784.4231567
151,861.0100708,947.3184814,918.5396729,833.6056519,942.6976318,946.7805786,889.286377,790.9472046
156,999.1397705,976.649353,1001.807739,1024.588867,1076.863403,979.394043,963.1256714,907.7783203
161,359.8365479,601.3129272,415.388031,297.4984741,494.2641296,471.6517944,322.7297058,317.0231934
166,332.0349426,598.6047974,371.8438416,400.0123291,359.9020691,269.9932251,298.1379395,214.1715088
171,1840.555664,1726.485718,1728.458496,1967.674316,2147.882813,2093.030029,2039.641113,1615.411499
176,1265.63916,1096.470459,1434.346436,1033.759033,938.5061646,1051.130371,1099.813843,924.5523682
181,956.3534546,720.2776489,671.1428833,1227.723633,977.526062,823.4685669,871.2207031,720.973877
186,723.3395996,765.4746704,612.9191895,810.2828369,815.4436035,700.0352173,609.1864014,565.4179077
191,433.6340332,959.1037598,525.3965454,489.4755249,368.9741821,343.4779358,458.9816589,552.894104
196,365.7184753,570.8540039,515.53125,505.6175232,526.9771118,481.4249573,436.1101379,390.8618469
201,919.5772095,785.7980957,768.9798584,1046.735229,1011.742249,945.4071045,893.2703857,850.6801147
206,942.5366211,960.8141479,997.2079468,977.8320923,963.8032227,1031.229614,968.9689331,959.0410767
211,844.9932861,829.795166,908.447876,915.3030396,886.6829224,865.2871704,894.1815796,777.2918091
216,832.4614868,808.0775757,971.7235107,925.4273682,867.0942383,822.1072388,884.7584839,777.3500366
221,692.1549683,988.5771484,815.0033569,777.9186401,814.7525635,830.1188354,828.0122681,761.489624
226,1155.223877,1099.623657,1166.800537,1141.922485,1087.299561,1012.652649,939.8504639,988.9772339
231,1130.921265,1149.185303,1127.367798,1098.945923,1041.431641,943.9703979,919.7823486,1001.663757
