Step,0,1,2,3,4,5,6,7
1,14276.84277,14127.25098,14263.62305,13989.22559,13801.39453,13814.97266,14111.09473,14184.24512
2,13824.18164,14328.32813,14316.24707,13808.17969,13723.33008,13844.67871,14172.47754,14103.00781
3,13357.81152,14352.41895,14030.32227,14139.94336,14050.14258,14090.88672,14150.96191,14062.47656
4,13442.31934,14168.7373,14306.33008,14267.58594,13775.72949,13807.89648,13553.66895,13759.80371
5,13761.56836,14713.0332,14660.68555,14222.30566,14104.75879,14059.89844,13998.21973,14013.15918
6,14494.66992,14812.86816,14852.11719,14293.00781,14291.45215,13834.59082,14081.37891,14483.02539
7,15104.72559,15127.34375,14732,14782.88379,14291.37598,14069.38672,14013.99609,14711.47461
8,15648.85938,15146.43945,14805.36133,14424.09863,14367.27051,14102.53711,14279.02539,14680.38867
9,16135.63867,15186.07227,14961.15039,14854.96484,14685.16309,14334.49316,14544.76172,14619.53027
10,16786.93359,15713.49609,14683.06738,14485.16699,14367.93945,14398.06543,14531.49023,14885.34863
11,16533.17383,15513.01465,14674.08789,14272.17871,14525.62402,14644.32715,14622.0293,15122.3291
16,17122.67188,16421.25781,15265.64551,14943.44824,15168.43262,15467.5918,15002.7168,15642.00781
21,18154.83203,18062.31641,16880.03125,16376.86328,15894.99023,16238.12207,16212.04688,16703.52539
26,18579.81641,19369.70313,17520.64844,16879.38281,16900.33594,16896.95313,16607.10938,17251.75586
31,17536.54883,19728.58789,17470.40234,17471.67383,17197.16797,16816.79102,17469.58203,18337.4043
36,15033.92773,22344.71094,19024.32422,19290.13867,20688.66406,20417.59961,21408.24414,22430.54492
41,15124.53809,22129.83398,20579.19531,19331.46289,19999.74219,20651.34961,20555.84375,29107.45508
46,13454.91797,24053.85938,21546.80469,20906.12305,19854.49023,22364.67578,21281.82813,34294.86719
51,11230.2832,24249.91602,23391.71289,23935.94141,21565.50781,20755.45117,21663.27734,25789.08203
56,8786.519531,23463.41602,21272.42578,21041.91797,20793.54688,20151.07813,20506.03125,17319.72852
61,10270.76465,25863.05859,22160.11328,22151.44531,22034.85742,21776.23047,21148.00586,17425.19141
66,64735.92188,81189.75781,51724.94531,49371.82031,46712.66406,53496.29297,67133.55469,78781.75
71,8427.751953,29615.50391,26603.53125,24705.94141,23674.03906,23700.62305,21158.23633,16425.21289
76,5880.377441,28750.61133,27802.88672,24012.73242,24365.44727,24417.64648,23115.1875,21380.80078
81,5190.478516,26572.42383,28075.17969,24081.57617,23683.68359,23743.10547,24300.90039,21559.45898
86,4658.066895,27471.29102,30238.71094,27016.71094,25363.52539,26120.32031,24116.27344,14619.71094
91,1540.125977,26631.67773,29976.83398,27073.76953,27903.65625,24289.64648,21431.55273,9139.314453
96,5174.845215,90152.6875,104460.3828,64621.13672,47283.58203,31275.56836,11774.99902,5247.083008
101,22827.34766,21784.74805,21506.96094,22854.30469,26304.64258,21628.27344,21417.91016,21552.56445
106,34086.9375,31166.78906,24548.57422,22557.27734,26863.5918,26914.98438,21949.92188,32769.57031
111,33531.29688,22541.85938,22639.20117,27870.24219,26420.57031,22034.4375,23044.61523,29488.83789
116,41817.13281,30976.14648,25390.95117,25863.13867,25098.66797,24801.94922,25858.47852,43789.09375
121,34728.41406,28107.17578,23860.45117,22909.94727,22400.47266,24221.04883,23759.50195,24817.77344
126,20726.71094,32137.47266,22565.29492,20287.86133,20333.96875,18918.34375,14765.91016,7476.002441
131,15685.12598,40767.74219,27595.29102,21822.10352,19672.93945,18575.45313,17357.19922,14030.40039
136,24130.78711,33519.75391,32536.01758,28568.4707,27675.77539,27521.49609,27064.46875,29183.87109
141,15368.27344,33044.19922,28727.00781,23628.56055,22208.8418,22918.64258,23782.82422,18773.87305
146,18368.76758,30113.03906,26997.02539,25384.9082,24355.42188,23667.10547,24377.25195,25643.88477
151,12436.31445,27633.07813,33339.10547,29458.38086,25170.70703,23848.84766,24590.36719,25158.72656
156,8724.663086,30023.64258,36737.34766,31576.70508,27054.56836,26302.13867,25022.11523,22819.94727
161,11557.22656,28392.73438,31549.99414,28187.65039,23523.17188,21204.55469,22010.45898,27692.49805
166,3737.832764,29418.70898,32321.48438,27568.14648,24724.87109,24352.33203,25556.36523,30869.39648
171,3191.442383,27415.9043,29029.52734,27601.19922,24624.05078,22675.6543,23385.19922,26719.66211
176,2321.82959,17904.41016,28833.27734,26600.97852,21730.61133,19935.1582,22034.32031,23822.67383
181,3316.133301,22823.63477,30984.63086,27662.6543,23738.32031,22727.86719,23168.24023,21840.0625
186,7575.734863,25862.52539,26757.61914,27345.25391,24790.9043,23544.1582,22508.53516,21993.04883
191,4738.168945,25111.95313,30638.26367,29819.14258,26667.14258,23877.80273,23829.57227,24597.84375
196,591.777832,16264.19336,34757.85156,33625.02734,28645.04297,27137.18945,24386.86523,24264.75977
201,1077.781006,12439.13867,26076.99219,30695.16211,26939.32031,24517.22461,23375.33398,24201.55859
206,629.4769897,13049.78125,24293.34375,27990.50195,26169.55078,24395.27148,23530.4375,24966.16016
211,702.2529907,10794.69043,23673.58203,24499.25586,25799.11719,25160.26758,25112.39258,23823.15234
216,44.34873199,3998.13916,14664.91992,23923.79688,26493.14258,27016.48047,26305.61914,22594.33984
221,0.131232157,2825.309814,13933.20117,23847.00586,29342.74609,30182.78516,26677.27344,23413.60352
226,235.2954559,4952.311035,16707.38281,30807.2207,33675.0625,29710.59961,26551.67773,21018.09375
231,1767.026123,11077.14453,21084.80078,28934.46094,28385.00391,25075.9375,23692.22266,17249.68359
236,719.4223022,10264.22852,21245.27734,24380.06055,24992.16797,25403.97852,24353.22852,19910.98633
