Step,0,1,2,3,4,5,6,7,,,,,,,,,,
0,96.89632416,91.04348755,95.82966614,97.3130188,92.98651123,90.89137268,99.04064178,106.3798752,,,,,,,,,,
1,115.1273651,131.7419891,137.1744232,141.9560089,140.0683441,149.5056152,155.258194,161.4207001,,,,,,,,,,
2,108.2130432,171.1504822,197.3190308,197.4546356,200.7809753,210.5120239,208.5574188,203.9445648,,,,,,,,,,
3,87.0818634,205.696228,250.0558167,266.5256653,265.3284607,272.8545227,281.0413818,269.265686,,,,,,,,,,
4,93.42433929,200.0383911,259.7984924,289.4862061,304.8667297,326.3591919,336.4988098,312.9291077,,,,,,,,,,
5,46.69881058,160.9454041,293.6636963,368.1311646,411.0872192,448.290863,453.7598572,392.337738,,,,,,,,,,
6,29.69508362,121.7086945,284.7165222,444.0272217,556.8960571,570.1286011,539.8845215,455.823761,,,,,,,,,,
7,28.9834156,133.1257629,285.3535767,440.7011108,516.5055542,544.8789063,543.40979,484.2966003,,,,,,,,,,
8,13.34945965,67.06932831,193.5875092,367.0308228,545.8532104,712.4440918,766.2838135,670.5883789,,,,,,,,,,
9,7.472262859,52.37900543,156.9209137,343.1810608,593.5925903,847.3146973,926.3189087,800.0085449,,,,,,,,,,
10,13.25781059,47.7533226,152.4966583,323.7659912,551.862793,765.0095825,935.6951904,876.8869629,,,,,,,,,,
11,3.841396332,11.76391315,90.66752625,223.6760864,505.355896,942.2077637,1350.281372,1247.533447,,,,,,,,,,
12,0.000105499,10.57675934,56.44458008,157.7383881,456.1979065,1042.496826,1670.747803,1717.456543,,,,,,,,,,
13,0.000351393,20.95090675,95.58815002,216.9111938,590.3087158,1114.935791,1732.27063,1655.026123,,,,,,,,,,
14,1.08434E-05,4.11088419,39.43776321,183.5010223,383.8780212,976.411499,1930.538208,2660.70459,,,,,,,,,,
15,4.03E-08,3.76672E-05,14.04628754,32.90554047,109.157341,450.7041626,1650.506226,3608.486084,,,,,,,,,,
16,5.36E-08,3.46871E-05,11.37381458,27.38458061,100.7276993,313.0870361,1120.334106,3198.360107,,,,,,,,,,
17,8.81E-10,1.44718E-06,0.000172129,5.135180473,47.56788635,285.848938,1169.521973,4151.970703,,,,,,,,,,
18,4.70E-10,6.19E-07,3.266219139,0.003648481,76.93330383,174.1057129,747.4237061,4117.274414,,,,,,,,,,
19,6.43E-12,8.40E-09,4.08093E-06,5.211807728,3.678905725,102.8192291,643.2671509,4668.69043,,,,,,,,,,
20,5.71E-12,2.14E-08,6.46043E-06,0.000307772,19.11576843,114.648262,287.6578064,2935.657715,,,,,,,,,,
21,5.73E-12,1.48E-09,6.87E-07,4.49664E-05,6.769528389,22.42870522,132.0691223,2305.964111,,,,,,,,,,
22,6.18E-12,8.89E-11,4.09E-08,4.98729E-06,0.000259542,61.98783112,132.0050201,3889.871338,,,,,,,,,,
23,5.98E-12,4.75E-10,1.99E-07,1.6136E-05,6.779188156,33.51378632,254.2367249,4345.202148,,,,,,,,,,
24,7.10E-12,2.24E-09,8.24E-07,5.7005E-05,24.35842896,96.99915314,274.4589233,4666.23584,,,,,,,,,,
25,7.12E-12,9.06E-11,1.87E-08,1.72205E-06,8.947371483,0.002793908,63.92014313,2230.800049,,,,,,,,,,
26,7.91E-12,6.87E-12,2.61E-10,9.68E-08,7.40761E-06,33.81095886,79.35163879,2381.656738,,,,,,,,,,
27,6.83E-12,9.12E-11,2.07E-08,2.01557E-06,20.26825523,21.02848053,250.1511078,4026.344482,,,,,,,,,,
28,6.37E-12,6.11E-12,2.44E-10,1.22E-07,1.48932E-05,14.57871914,112.6246567,4736.043457,,,,,,,,,,
29,5.64E-12,7.89E-11,1.35E-08,1.21373E-06,5.27162E-05,8.593225479,68.86911011,1661.486084,,,,,,,,,,
30,7.45E-12,6.80E-12,1.00E-10,2.01E-08,1.85678E-06,0.00011997,46.69240189,2265.06543,,,,,,,,,,
31,6.07E-12,6.46E-12,3.92E-09,7.295011044,5.01518E-05,9.081015587,42.85701752,2724.453125,,,,,,,,,,
32,7.58E-12,6.71E-12,9.34E-11,1.02E-08,8.84E-07,5.96214E-05,17.85627937,1641.88916,,,,,,,,,,
33,8.73E-12,9.29E-12,8.40E-12,5.99E-10,1.24E-07,1.01906E-05,0.001401301,1620.058228,,,,,,,,,,
34,8.29E-12,9.21E-12,7.54E-12,1.05E-10,3.57E-08,5.27564E-06,0.001051261,1658.45813,,,,,,,,,,
35,5.88E-12,6.04E-12,8.40E-11,2.41E-08,2.90285E-06,0.00027465,82.21867371,3176.965332,,,,,,,,,,
36,6.40E-12,7.02E-12,9.12E-11,1.30E-08,9.95E-07,6.29921E-05,0.006395406,1779.1427,,,,,,,,,,
37,5.58E-12,6.64E-12,8.42E-11,2.15E-08,1.8529E-06,9.80728E-05,0.007640426,1375.324097,,,,,,,,,,
38,6.85E-12,6.94E-12,7.44E-12,5.04E-10,1.41E-07,9.9517E-06,0.00102645,1050.263916,,,,,,,,,,
39,7.52E-12,6.47E-12,6.61E-12,1.09E-10,3.92E-08,6.28797E-06,26.74796486,1907.746704,,,,,,,,,,
40,6.30E-12,6.61E-12,9.01E-11,2.48E-08,2.44484E-06,0.000146142,31.40734291,2035.033325,,,,,,,,,,
41,6.68E-12,6.44E-12,5.96E-12,7.94E-10,3.08E-07,2.55405E-05,0.003199442,1419.67041,,,,,,,,,,
42,7.51E-12,7.28E-12,7.39E-12,6.53E-12,2.68E-10,1.05E-07,1.6067E-05,140.1820679,,,,,,,,,,
43,7.52E-12,8.29E-12,8.27E-12,8.15E-12,9.14E-11,1.50E-08,2.37433E-06,0.222301885,,,,,,,,,,
44,7.85E-12,7.56E-12,7.26E-12,8.20E-12,7.48E-12,1.32E-09,1.11232E-06,22.1849575,,,,,,,,,,
45,7.73E-12,7.22E-12,7.19E-12,8.16E-12,7.46E-12,7.35E-10,7.39E-07,9.145298958,,,,,,,,,,
46,7.19E-12,7.44E-12,7.96E-12,7.28E-12,7.36E-12,5.05E-10,5.01E-07,13.024683,,,,,,,,,,
47,7.14E-12,7.87E-12,6.35E-12,7.45E-12,7.31E-12,4.82E-10,4.00E-07,23.503582,,,,,,,,,,
48,7.14E-12,6.89E-12,7.63E-12,7.88E-12,7.76E-12,2.83E-10,2.76E-07,0.004875537,,,,,,,,,,
49,7.26E-12,8.17E-12,7.32E-12,7.59E-12,8.30E-12,2.82E-10,2.23E-07,0.004028176,,,,,,,,,,
50,7.50E-12,7.60E-12,7.49E-12,8.64E-12,7.95E-12,2.61E-10,1.98E-07,0.003193467,,,,,,,,,,
51,8.15E-12,6.31E-12,8.17E-12,8.19E-12,7.86E-12,2.74E-10,1.69E-07,16.53133011,,,,,,,,,,
52,7.52E-12,9.41E-12,9.81E-12,7.00E-12,8.05E-12,1.01E-10,1.10E-07,0.002291955,,,,,,,,,,
53,7.71E-12,8.04E-12,8.28E-12,7.72E-12,8.79E-12,9.63E-11,9.58E-08,0.002040168,,,,,,,,,,
54,6.43E-12,7.01E-12,7.30E-12,5.72E-12,8.19E-12,1.15E-10,8.33E-08,0.001744863,,,,,,,,,,
55,7.78E-12,8.35E-12,8.20E-12,6.53E-12,6.66E-12,1.02E-10,7.13E-08,0.001448479,,,,,,,,,,
56,6.98E-12,7.18E-12,6.48E-12,6.94E-12,6.59E-12,9.95E-11,6.53E-08,0.001353041,,,,,,,,,,
57,8.08E-12,7.12E-12,7.11E-12,8.08E-12,7.50E-12,1.12E-10,6.01E-08,45.77573776,,,,,,,,,,
58,7.49E-12,7.76E-12,6.01E-12,6.24E-12,6.57E-12,9.74E-11,5.45E-08,0.001082097,,,,,,,,,,
59,7.07E-12,7.43E-12,8.53E-12,6.55E-12,7.08E-12,1.11E-10,4.91E-08,0.000949274,,,,,,,,,,
60,7.41E-12,7.27E-12,7.41E-12,7.28E-12,7.52E-12,1.04E-10,4.42E-08,0.000910732,,,,,,,,,,
61,7.20E-12,7.30E-12,7.07E-12,7.64E-12,6.75E-12,9.57E-11,4.49E-08,0.000836432,,,,,,,,,,
62,6.97E-12,7.55E-12,7.93E-12,7.73E-12,7.05E-12,1.02E-10,4.09E-08,0.000793582,,,,,,,,,,
63,7.54E-12,7.17E-12,6.83E-12,7.04E-12,7.55E-12,9.89E-11,3.63E-08,0.000698182,,,,,,,,,,
64,8.23E-12,7.27E-12,7.24E-12,7.18E-12,6.27E-12,1.06E-10,3.66E-08,0.000593495,,,,,,,,,,
65,7.16E-12,6.50E-12,7.82E-12,7.22E-12,7.23E-12,1.05E-10,3.17E-08,0.000555908,,,,,,,,,,
66,8.21E-12,7.52E-12,7.77E-12,6.88E-12,7.30E-12,6.66E-12,4.39E-09,0.000508678,,,,,,,,,,
67,6.81E-12,7.29E-12,7.75E-12,6.73E-12,6.91E-12,6.43E-12,4.01E-09,0.000515763,,,,,,,,,,
68,7.94E-12,7.00E-12,7.14E-12,6.63E-12,7.88E-12,7.26E-12,3.91E-09,0.000467645,,,,,,,,,,
69,6.78E-12,6.42E-12,7.06E-12,6.62E-12,7.43E-12,7.40E-12,3.15E-09,0.000445721,,,,,,,,,,
70,7.94E-12,7.63E-12,7.54E-12,7.82E-12,7.48E-12,7.94E-12,3.12E-09,0.000406464,,,,,,,,,,
71,8.08E-12,7.01E-12,7.48E-12,6.51E-12,7.52E-12,7.28E-12,3.15E-09,0.000401854,,,,,,,,,,
72,7.25E-12,6.75E-12,7.79E-12,6.92E-12,6.70E-12,7.03E-12,2.71E-09,0.000347453,,,,,,,,,,
73,7.14E-12,7.57E-12,7.42E-12,7.73E-12,6.89E-12,7.68E-12,2.80E-09,0.000336012,,,,,,,,,,
74,7.32E-12,7.16E-12,8.79E-12,6.97E-12,7.76E-12,7.59E-12,2.59E-09,0.000312467,,,,,,,,,,
75,8.06E-12,6.62E-12,7.66E-12,8.39E-12,7.09E-12,6.62E-12,2.79E-09,0.000276776,,,,,,,,,,
76,5.86E-12,5.93E-12,7.87E-12,7.22E-12,8.64E-12,7.26E-12,2.33E-09,0.000275613,,,,,,,,,,
77,7.02E-12,6.93E-12,7.87E-12,6.68E-12,6.38E-12,6.76E-12,1.85E-09,17.87594223,,,,,,,,,,
78,7.44E-12,7.40E-12,7.38E-12,6.55E-12,7.63E-12,6.51E-12,2.17E-09,0.000272803,,,,,,,,,,
79,8.44E-12,6.91E-12,8.46E-12,7.14E-12,6.95E-12,6.13E-12,1.76E-09,0.000252172,,,,,,,,,,
80,7.69E-12,7.02E-12,7.46E-12,7.43E-12,8.00E-12,7.67E-12,2.07E-09,0.00023887,,,,,,,,,,
81,8.74E-12,6.89E-12,6.87E-12,7.87E-12,8.34E-12,7.76E-12,1.46E-09,0.000226879,,,,,,,,,,
82,7.89E-12,7.95E-12,7.42E-12,7.59E-12,6.76E-12,6.45E-12,1.51E-09,0.000202995,,,,,,,,,,
83,7.71E-12,7.95E-12,7.98E-12,7.98E-12,7.71E-12,6.93E-12,1.51E-09,15.13203907,,,,,,,,,,
84,7.53E-12,8.77E-12,7.29E-12,7.11E-12,8.23E-12,7.93E-12,1.69E-09,0.000172875,,,,,,,,,,
85,7.38E-12,7.85E-12,6.64E-12,7.43E-12,8.27E-12,7.33E-12,1.65E-09,0.000183457,,,,,,,,,,
86,7.78E-12,7.75E-12,7.06E-12,7.46E-12,7.14E-12,6.71E-12,1.71E-09,0.000171664,,,,,,,,,,
87,6.16E-12,6.85E-12,8.31E-12,7.43E-12,7.34E-12,7.79E-12,1.21E-09,0.000165059,,,,,,,,,,
