Step,test_acc,train_acc,train_loss,test_loss
0,0.28549999,0.227219999,2.103793621,1.946033001
1,0.431300014,0.353780001,1.780598164,1.557528138
2,0.469000012,0.443399996,1.534679055,1.432199836
3,0.538500011,0.50533998,1.369199276,1.270759821
4,0.594900012,0.55844003,1.220695972,1.138492823
5,0.633300006,0.607119977,1.096433163,1.040232062
6,0.636200011,0.651080012,0.97454983,1.009970546
7,0.67049998,0.691659987,0.869597614,0.932183504
8,0.727400005,0.728280008,0.76807636,0.789193869
9,0.723999977,0.761919975,0.668940008,0.787317038
10,0.753099978,0.795719981,0.584044576,0.71903044
11,0.75029999,0.821460009,0.504752278,0.737601876
12,0.75819999,0.845000029,0.435336828,0.762678087
13,0.732900023,0.87213999,0.358677119,0.825802743
14,0.758099973,0.89598,0.290326476,0.827604115
15,0.773999989,0.919579983,0.225543901,0.851914942
16,0.778500021,0.933759987,0.186545715,0.823143959
17,0.779299974,0.951520026,0.138362899,0.970761061
18,0.782199979,0.962819993,0.105414405,0.955160379
19,0.779100001,0.968580008,0.090693444,1.074798584
20,0.790099978,0.974420011,0.071463592,1.007766843
21,0.794399977,0.97924,0.062133845,1.032263398
22,0.778999984,0.98834002,0.035719376,1.282186627
23,0.778999984,0.988839984,0.035287876,1.238840461
24,0.772599995,0.988059998,0.034382164,1.227654457
25,0.792400002,0.989839971,0.029837353,1.169369578
26,0.792800009,0.993520021,0.019317335,1.316589594
27,0.778299987,0.992079973,0.025340855,1.287172914
28,0.7755,0.994759977,0.015657507,1.465591073
29,0.796700001,0.991940022,0.026795961,1.172050238
30,0.792200029,0.997300029,0.009245873,1.378959417
31,0.78490001,0.995880008,0.015312452,1.273663402
32,0.795899987,0.99436003,0.019366056,1.344442606
33,0.79610002,0.998019993,0.006699442,1.502940178
34,0.792900026,0.999180019,0.003157232,1.618213177
35,0.7852,0.99526,0.0137114,1.437335372
36,0.79339999,0.996039987,0.012771053,1.362190604
37,0.799700022,0.995199978,0.014428087,1.281624556
38,0.799000025,0.998480022,0.00534962,1.41369319
39,0.792699993,0.99842,0.004726745,1.556029916
40,0.794799984,0.993740022,0.020019203,1.315665007
41,0.792800009,0.997039974,0.009544255,1.429640293
42,0.806900024,0.999199986,0.002775141,1.511538744
43,0.810400009,1,0.000143684,1.590411186
44,0.809800029,1,4.19127E-05,1.617030382
45,0.809700012,1,2.78299E-05,1.641926527
46,0.809499979,1,2.24344E-05,1.662973046
47,0.809700012,1,1.89212E-05,1.680991054
48,0.809899986,1,1.64199E-05,1.697043419
49,0.810000002,1,1.45291E-05,1.711131215
50,0.809800029,1,1.30383E-05,1.723982453
51,0.809700012,1,1.1829E-05,1.735791445
52,0.809700012,1,1.08243E-05,1.746832371
53,0.809700012,1,9.97744E-06,1.756980062
54,0.810000002,1,9.25487E-06,1.766435981
55,0.810000002,1,8.62961E-06,1.775271654
56,0.810299993,1,8.08253E-06,1.78367281
57,0.810500026,1,7.60019E-06,1.791635513
58,0.810400009,1,7.17171E-06,1.79921782
59,0.810400009,1,6.78742E-06,1.806483388
60,0.810599983,1,6.44148E-06,1.813410163
61,0.810699999,1,6.12865E-06,1.820013285
62,0.810500026,1,5.84366E-06,1.826418161
63,0.810299993,1,5.58307E-06,1.83251822
64,0.810199976,1,5.344E-06,1.83844471
65,0.810199976,1,5.12402E-06,1.844121099
66,0.810100019,1,4.92142E-06,1.84956646
67,0.810199976,1,4.73336E-06,1.854843378
68,0.810299993,1,4.55898E-06,1.859943151
69,0.810299993,1,4.39674E-06,1.864908457
70,0.810299993,1,4.24527E-06,1.869684339
71,0.810400009,1,4.10356E-06,1.874336958
72,0.810400009,1,3.97046E-06,1.878956079
73,0.810400009,1,3.84566E-06,1.883347273
74,0.810500026,1,3.72775E-06,1.887653351
75,0.810400009,1,3.61681E-06,1.891818166
76,0.810199976,1,3.51235E-06,1.895890832
77,0.810299993,1,3.41311E-06,1.899918914
78,0.810000002,1,3.31962E-06,1.903802395
79,0.810100019,1,3.23074E-06,1.907577157
80,0.810000002,1,3.14651E-06,1.91126287
81,0.810000002,1,3.0661E-06,1.914868593
82,0.810100019,1,2.98975E-06,1.918398976
83,0.810100019,1,2.91686E-06,1.921847701
84,0.810199976,1,2.84716E-06,1.925285697
85,0.810199976,1,2.78121E-06,1.9285779
86,0.810199976,1,2.71759E-06,1.931812286
87,0.810199976,1,2.65703E-06,1.935002565
88,0.810100019,1,2.59873E-06,1.938124418
89,0.810199976,1,2.54264E-06,1.941227317
90,0.810199976,1,2.48954E-06,1.94421792
91,0.810199976,1,2.43814E-06,1.947175026
92,0.810299993,1,2.38875E-06,1.950063467
93,0.810400009,1,2.34116E-06,1.95290041
94,0.810400009,1,2.29555E-06,1.955708981
95,0.810199976,1,2.2515E-06,1.958460212
96,0.810000002,1,2.20883E-06,1.961174607
97,0.809899986,1,2.16803E-06,1.963850021
98,0.809899986,1,2.12838E-06,1.966462851
99,0.809899986,1,2.0903E-06,1.969040394
100,0.809800029,1,2.05341E-06,1.971580267
101,0.809800029,1,2.01757E-06,1.974074364
102,0.809899986,1,1.983E-06,1.976575136
103,0.809800029,1,1.94966E-06,1.979013085
104,0.809599996,1,1.91729E-06,1.981411934
105,0.809700012,1,1.8858E-06,1.983772039
106,0.809599996,1,1.85537E-06,1.986100435
107,0.809700012,1,1.82606E-06,1.988377333
108,0.809800029,1,1.79716E-06,1.99066937
109,0.809800029,1,1.76963E-06,1.992904067
110,0.809800029,1,1.74263E-06,1.995097637
111,0.809800029,1,1.71651E-06,1.997267008
112,0.809800029,1,1.69104E-06,1.999416351
113,0.809800029,1,1.66634E-06,2.001532793
114,0.809800029,1,1.64225E-06,2.003619194
115,0.809700012,1,1.61873E-06,2.005676508
116,0.809700012,1,1.59595E-06,2.007749319
117,0.809700012,1,1.57387E-06,2.009763241
118,0.809700012,1,1.55229E-06,2.011747837
119,0.809800029,1,1.53125E-06,2.013723373
120,0.809800029,1,1.51074E-06,2.015667677
121,0.809800029,1,1.49072E-06,2.01758194
122,0.809700012,1,1.47115E-06,2.019504786
123,0.809700012,1,1.45222E-06,2.021374226
124,0.809700012,1,1.43371E-06,2.023221016
125,0.809700012,1,1.41561E-06,2.025048971
126,0.809700012,1,1.39777E-06,2.026920795
127,0.809700012,1,1.38018E-06,2.028769255
128,0.809700012,1,1.36282E-06,2.030588865
129,0.809800029,1,1.34607E-06,2.032390118
130,0.809800029,1,1.32957E-06,2.034168243
131,0.809800029,1,1.31352E-06,2.035928249
132,0.809700012,1,1.29786E-06,2.037665367
133,0.809599996,1,1.28263E-06,2.039377451
134,0.809599996,1,1.26763E-06,2.041069508
135,0.809599996,1,1.25285E-06,2.042742729
136,0.809599996,1,1.23868E-06,2.044398546
137,0.809599996,1,1.22482E-06,2.046037674
138,0.809599996,1,1.21122E-06,2.04766345
139,0.809599996,1,1.19776E-06,2.049268723
140,0.809599996,1,1.18482E-06,2.050861597
141,0.809599996,1,1.17199E-06,2.052439451
142,0.809899986,1,1.15943E-06,2.054003716
143,0.809899986,1,1.14721E-06,2.055552959
144,0.809899986,1,1.13527E-06,2.057083845
145,0.809899986,1,1.12345E-06,2.058604002
146,0.810000002,1,1.11193E-06,2.060112715
147,0.810000002,1,1.10054E-06,2.06160903
148,0.810000002,1,1.08938E-06,2.063089848
149,0.810000002,1,1.0785E-06,2.064558268
150,0.810000002,1,1.0678E-06,2.066015244
