Step,0,1,2,3,4,5,6,7
0,3.978294409,3.562991002,3.79091597,3.740124868,3.754227223,3.720220357,3.872486391,4.066073123
1,4.005130509,3.584851555,3.766768365,3.743816473,3.741497212,3.744514108,3.931550549,4.128274647
2,3.98049217,3.585153764,3.752381104,3.787223415,3.708502777,3.728010884,3.891435006,4.095843768
3,3.967365841,3.581318073,3.784351459,3.775439422,3.690465298,3.769493649,3.909176397,4.136940367
4,4.011322555,3.606000097,3.722443167,3.757267779,3.730992689,3.743473536,3.865864616,4.131082291
5,4.001211154,3.641185579,3.761445646,3.750895528,3.708103248,3.771945022,3.909167295,4.161719701
6,4.007769318,3.636859806,3.7799274,3.780891606,3.702665958,3.738433663,3.910745431,4.103699581
7,4.002135132,3.618657552,3.768256318,3.78423859,3.702849046,3.764222906,3.892781621,4.106805047
8,3.980728107,3.5758991,3.767707512,3.762301877,3.698833246,3.721174755,3.89290601,4.133788522
9,4.017649876,3.612799715,3.737365334,3.748126938,3.704289578,3.75340673,3.909595434,4.111064303
10,4.036379766,3.590801145,3.76949817,3.761021539,3.710469229,3.729849252,3.917880577,4.168512953
11,4.028209244,3.608339529,3.761587009,3.761588664,3.731192505,3.743188546,3.948713183,4.086035051
12,3.968831477,3.61165422,3.766992793,3.772707924,3.719753094,3.776802719,3.887672941,4.148682227
13,3.986243717,3.582453716,3.748196267,3.769305195,3.709520811,3.749884455,3.926990886,4.105492155
14,3.990152165,3.58724345,3.744591955,3.816202168,3.718636296,3.796931456,3.921307003,4.107635343
15,4.041975582,3.602317795,3.77549381,3.787523219,3.716939403,3.764502438,3.939936095,4.092316176
16,4.023821415,3.58912646,3.779784512,3.766826832,3.679766603,3.776330421,3.91934921,4.101741834
17,4.007021097,3.611226862,3.790999465,3.765065758,3.68743839,3.754132281,3.930005622,4.088698448
18,4.041848359,3.615220839,3.717805345,3.762186606,3.687998646,3.755866744,3.939958099,4.117396395
19,3.977245857,3.622942515,3.741948098,3.758161427,3.727258807,3.789641329,3.907486333,4.150848936
20,4.021207362,3.64615102,3.780234144,3.774913141,3.675628883,3.778186608,3.912812746,4.11200557
21,4.017877656,3.633298147,3.733161707,3.762611151,3.694318205,3.776083586,3.898283086,4.091323914
22,4.031930181,3.605062376,3.7665788,3.786521137,3.655921122,3.772616681,3.900421935,4.141662428
23,3.985949474,3.60426638,3.735208232,3.784887332,3.644132791,3.749896793,3.885142832,4.109756126
24,4.015876633,3.668371129,3.694399737,3.806713631,3.689662273,3.744470243,3.903192216,4.1205856
25,4.035796544,3.615412302,3.745211697,3.80909159,3.694186608,3.769134917,3.922567353,4.115145743
26,4.047142285,3.629929072,3.705362519,3.782691139,3.691277145,3.758299015,3.93102569,4.115230061
27,4.039247133,3.649341178,3.756421724,3.793596056,3.710182492,3.743702886,3.876838104,4.089963594
28,4.011095337,3.664704502,3.725773123,3.808186915,3.66936875,3.771847943,3.896725155,4.158267372
29,3.998152694,3.659592909,3.752203909,3.775857368,3.688726026,3.766674945,3.900296408,4.112244707
30,4.008201656,3.648578931,3.710091973,3.80238742,3.696223686,3.721873393,3.860107836,4.111534194
31,4.03025827,3.638514328,3.733183935,3.788629888,3.695600873,3.726130821,3.886126349,4.117139814
32,4.021104964,3.685565478,3.706255712,3.808021977,3.68464496,3.759226877,3.855900997,4.12402826
33,4.011765417,3.633850918,3.719225631,3.798657475,3.688189847,3.758633574,3.861175984,4.133407896
34,4.040748641,3.639423852,3.712093699,3.783925493,3.725626131,3.736498358,3.854399992,4.074106706
35,4.016694659,3.641614868,3.723678402,3.799151531,3.728178845,3.713703112,3.821167018,4.140537367
36,3.994478087,3.682935497,3.734423385,3.812041903,3.713091815,3.761353346,3.81317731,4.128205876
37,4.00765475,3.691849335,3.762722801,3.797124993,3.735128192,3.744590449,3.838401022,4.131594406
38,4.027375114,3.655256563,3.695400236,3.811373404,3.735387332,3.752320076,3.837687744,4.168025375
39,4.029601697,3.672576185,3.694725115,3.787152752,3.730228422,3.72773504,3.850216948,4.179876246
40,4.029257612,3.667765497,3.687549982,3.843056348,3.74432444,3.778551945,3.832542552,4.117819982
41,4.054516743,3.693664948,3.672051342,3.816960353,3.727014089,3.761675624,3.806504965,4.160999763
42,4.022146821,3.706294652,3.709171252,3.82748134,3.733123249,3.75689539,3.830825711,4.154883857
43,4.054631242,3.684004963,3.69793403,3.789134489,3.745568996,3.758577919,3.85177265,4.122903112
44,4.054586227,3.692244741,3.64475178,3.813696425,3.739917547,3.73145523,3.831607227,4.178301189
45,4.032513235,3.698687712,3.713596923,3.822228388,3.713846,3.727748606,3.795666063,4.128920085
46,4.054048158,3.687962585,3.640757482,3.81460953,3.723457654,3.704739407,3.817536203,4.144734746
47,4.02394727,3.700547414,3.687061191,3.857650344,3.690500335,3.776650543,3.79919582,4.186591178
48,4.037600148,3.700969752,3.691282731,3.83296557,3.730968362,3.758502654,3.801762934,4.160727561
49,4.029085333,3.730996619,3.683614591,3.816531418,3.717224797,3.7577106,3.808245871,4.174039725
50,4.067925296,3.724160689,3.679929635,3.842634121,3.733289675,3.739713167,3.818574033,4.164217671
51,4.062650366,3.718084361,3.675560012,3.835316931,3.728017275,3.712676818,3.800852433,4.128269583
52,4.050732243,3.687124913,3.664173753,3.838816681,3.739569685,3.732537962,3.793293618,4.179149526
53,4.05714755,3.741703319,3.672273906,3.85026254,3.713519953,3.731242409,3.830868087,4.118533743
54,4.040469796,3.70372397,3.715030409,3.822066387,3.736693655,3.747073676,3.817392622,4.143780417
55,4.058415081,3.668582275,3.689994353,3.792484806,3.692409832,3.760425037,3.836466266,4.193947658
56,4.020386681,3.695329708,3.692262954,3.825011651,3.714486734,3.776306076,3.827034605,4.175258143
57,4.043485476,3.710393871,3.67886328,3.794086032,3.693240369,3.743169422,3.825246366,4.177363964
58,4.020602463,3.689206006,3.733219492,3.796927706,3.744254719,3.764854585,3.827193965,4.186889089
59,4.048775318,3.708087033,3.667861965,3.823002633,3.71765414,3.754164729,3.789249675,4.197708012
60,4.054829184,3.715705706,3.676001215,3.812882651,3.716324858,3.734278378,3.858713551,4.171905422
61,4.027686882,3.721706845,3.690749592,3.775957801,3.708067015,3.77125926,3.844551027,4.175239898
62,4.048602548,3.731078582,3.682175408,3.801016616,3.691473909,3.739814053,3.820222497,4.216550052
63,4.061439488,3.745697585,3.701274614,3.813685615,3.725425727,3.734123372,3.867340434,4.152153036
64,4.013649435,3.72344196,3.676369529,3.782761806,3.708794928,3.747079402,3.890880959,4.136171522
65,4.014131496,3.751283227,3.667941815,3.796128934,3.690932733,3.741058665,3.876217898,4.169961318
66,4.049568233,3.732921209,3.660316906,3.794953966,3.716558165,3.719285435,3.880133984,4.174438052
67,4.013485338,3.764133634,3.695521544,3.767518571,3.699237477,3.742758209,3.892234308,4.140249503
68,4.045888766,3.714667914,3.664878293,3.772150905,3.693040044,3.741218927,3.861130091,4.140077922
69,4.054912935,3.754178851,3.665705492,3.737131765,3.732389766,3.740040297,3.843894809,4.15713539
70,4.019731027,3.712175922,3.681052337,3.751613714,3.720558919,3.76568472,3.825815973,4.146707312
71,4.057928881,3.753442117,3.638851387,3.737031139,3.710388297,3.731452488,3.8609522,4.147495006
72,4.04653606,3.720235066,3.632742039,3.731486967,3.713142722,3.729228686,3.852816299,4.160221667
73,4.061724257,3.742654373,3.696000366,3.750007423,3.722215633,3.726441655,3.867498805,4.17080627
74,4.060418042,3.750265565,3.664728481,3.746964585,3.717427811,3.741291362,3.867816124,4.156046111
75,4.031930986,3.749758547,3.676239794,3.728531729,3.702398669,3.781511792,3.857811482,4.10797247
76,4.079616575,3.730301433,3.652166432,3.710594372,3.685365532,3.73008187,3.853648269,4.155427102
77,4.066231332,3.726462295,3.679666365,3.727105612,3.693751955,3.73707943,3.881263788,4.144566777
78,4.057429347,3.75598111,3.653605466,3.713615798,3.733371614,3.772686983,3.843341355,4.192813381
79,4.029162002,3.753773801,3.704416947,3.753233289,3.738327543,3.788058071,3.892870138,4.112567815
80,4.071445886,3.755379261,3.659929639,3.71290872,3.702747736,3.769564479,3.880119517,4.142449294
81,4.061122576,3.760673061,3.719731885,3.722521201,3.731240908,3.753316678,3.829132095,4.127967947
82,4.056325391,3.770948566,3.681079268,3.747185617,3.74263228,3.737309203,3.872740256,4.178840085
