Step,0,1,2,3,4,5,6,7
0,214.5955831,216.4343907,195.6274847,207.6729586,210.357051,178.4241987,224.6933896,228.0554217
1,462.2354876,467.8043115,468.3662484,505.6284997,536.5917858,587.6957563,632.650855,617.0526353
2,463.9963676,607.7642246,577.0941442,616.9715051,625.8456323,680.5103826,744.2851097,716.7869913
3,432.5239568,633.0797284,686.7025889,675.4683579,791.1317982,803.5933008,805.1963386,812.618379
4,403.1350661,731.0017221,783.151704,855.4542651,936.647535,969.5311266,993.5006078,974.0080836
5,355.8384991,655.4624034,786.5119019,874.4391708,976.5611915,991.4820826,1017.919461,941.5536917
6,323.6241982,687.0860652,842.8809336,1009.81177,1077.110917,1115.533482,1177.956586,1148.141594
7,280.1928536,591.6897058,975.0273566,1096.978524,1173.130795,1236.324442,1195.597874,1208.641947
8,240.2601088,610.8022305,914.0858631,1092.720408,1206.539179,1257.828706,1230.366359,1173.897288
9,164.7661062,549.6892389,867.7399126,1143.894169,1276.363422,1280.961239,1291.386559,1308.345605
10,181.975931,533.7418872,986.2968793,1189.558957,1290.099294,1448.70013,1461.010263,1392.45137
11,110.5593871,508.6908089,931.5426836,1211.636348,1385.2052,1499.742037,1552.152511,1322.603011
12,135.1546255,499.9603397,917.1221668,1196.292906,1461.137594,1549.2504,1456.28692,1451.561731
13,78.31864526,403.3891543,899.3757147,1216.563556,1710.671991,1793.116858,1818.056981,1606.619059
14,137.1690101,482.7877173,836.2217808,1242.247145,1561.684442,1699.766463,1739.649805,1543.374127
15,102.982035,369.3658587,795.8495707,1287.869569,1621.881547,1837.761177,2006.720576,1717.290065
16,93.24571449,419.876361,818.5734617,1214.747679,1836.815718,2031.196422,2182.531724,1856.162997
17,71.38774507,291.3503615,750.5620133,1244.530039,1847.19201,2196.406476,2270.522189,2074.59453
18,24.59508235,291.9411263,586.2362823,1138.727044,1844.546928,2243.401805,2484.00838,2065.349685
19,39.51393667,225.918465,714.5881449,1109.983869,1824.956705,2283.386399,2535.047979,2129.286457
20,66.94706691,289.9841423,789.7216832,1363.344235,2007.16236,2339.247435,2620.593767,2258.340158
21,0.130181482,293.7402699,587.8571142,1213.285851,2052.753065,2529.363058,2694.425398,2421.872075
22,61.43209536,205.9035372,778.2090657,1373.545623,1854.357952,2462.075563,2840.5587,2471.635226
23,53.36933054,121.2668373,742.3324513,1313.437444,1932.640714,2773.217505,3174.817258,2919.604837
24,27.94388868,153.9201729,555.6759892,1248.639455,2173.047417,3003.033694,3257.718681,2835.023707
25,0.041222609,155.1328168,548.6077785,958.9282403,1939.543327,3012.026958,3573.814458,3062.199842
26,21.37906126,106.1545165,502.7363544,965.0039374,1848.368223,3139.425384,3959.194431,3839.789892
27,0.011461132,146.5718108,429.8791889,1098.610595,1837.087036,3027.467622,3940.169191,3562.14824
28,0.007951349,63.80147299,408.780714,808.482499,2247.703107,2998.18979,4297.019311,3698.028323
29,10.02883685,116.0653649,494.0577689,908.7770105,1623.547858,3324.899129,4267.019819,4359.382258
30,0.004816632,174.1628288,289.1232482,899.9347796,2011.210127,3549.865765,4606.744972,4408.872238
31,0.002311123,21.57900788,249.4376573,560.7568606,1557.669145,3371.510525,4551.840669,4809.113046
32,10.72804553,17.97845607,242.8690045,920.3488015,1835.674795,3599.718143,5389.774577,4921.697765
33,0.00034819,29.49362641,293.1895901,689.9758267,1591.959409,3348.288651,5746.925322,5629.205462
34,0.000807066,49.29983753,321.7156482,822.4260889,1408.421903,3562.849774,5642.868545,5697.348263
35,0.000163635,0.031542222,77.78699796,353.2297653,1624.275797,3031.447727,5751.085803,6467.233926
36,0.000171235,8.352829348,128.1346437,704.8484514,1568.544984,3722.724005,5748.230686,6329.042166
37,7.06002E-05,0.019911881,326.7521734,642.8805951,1383.473332,3505.100527,6164.357627,6680.062766
38,2.04531E-05,0.007216559,166.9910186,288.366349,1415.727355,2645.133638,5517.613061,7796.712334
39,1.13237E-05,0.006299813,37.33302641,287.6887912,1654.10545,3139.643917,6752.562952,7267.364818
40,1.68989E-06,0.001299463,177.3341693,260.6866139,897.0571742,2199.51939,6290.237513,8569.016265
41,6.78E-07,0.000858642,100.7080579,239.1979134,895.3626202,2828.845459,6902.711523,9132.120305
42,1.52596E-06,26.28664947,246.3515129,234.9716107,484.3442828,2791.739571,6046.294625,9565.160153
43,9.83E-07,0.00110234,42.84554117,231.4525425,445.2954464,2179.15403,4938.930966,9173.051026
44,3.07E-07,0.000379662,0.027380641,213.6259044,615.7910003,1913.761195,4973.713089,10305.50754
45,4.09E-08,9.12758E-05,0.009041863,30.76798745,639.5443468,1533.982704,5650.912626,11188.21422
46,8.43E-08,0.000171355,0.01515656,220.8919508,206.105838,2172.022692,5256.198555,10491.83314
47,2.80E-08,6.57687E-05,0.007439167,364.6655682,238.2305564,1463.124806,4307.674832,10307.56935
48,1.09E-08,3.68713E-05,0.004211909,299.517882,310.3007574,1025.372972,4980.88044,11269.65303
49,6.84E-09,2.78672E-05,63.2267666,53.90357666,391.3154681,1332.935718,4203.594131,11106.13633
50,6.41E-09,1.60411E-05,0.002111671,41.39150198,722.7130746,1165.682595,4541.07839,11397.96027
51,1.72E-09,1.20221E-05,0.002304098,145.6377591,228.4625767,1522.953965,6287.92506,11966.80149
52,1.06E-09,6.30186E-06,0.001312422,89.05225292,298.0650499,1135.631605,5077.925625,13719.76261
53,4.25E-10,3.43083E-06,129.6871062,162.3237909,179.7238101,947.3234568,3373.404906,13453.0031
54,1.71E-09,9.52996E-06,0.001341434,161.0855331,395.8112455,723.3551636,4026.465222,12588.85563
55,1.81E-10,1.80883E-06,0.000340379,0.017554521,88.46034593,575.6807084,2493.417044,12865.14474
56,1.86E-10,7.02E-07,0.000196943,47.33216523,347.7426839,1159.273297,3713.473859,13631.955
57,1.99E-10,3.88E-07,0.00013273,0.008642871,83.58667702,469.9241634,3711.31717,12573.29785
58,1.93E-10,2.79E-07,0.000129059,108.5306721,313.2632378,1198.584694,3780.569358,12791.23363
59,2.19E-10,1.31E-07,5.12117E-05,0.004087351,72.93544146,538.0496182,2676.100697,13076.49682
60,1.48E-10,6.55E-08,2.70025E-05,0.002396724,79.36121093,127.452202,2491.796256,11260.30509
61,2.12E-10,4.22E-08,1.83469E-05,0.001448997,85.68175833,220.7754478,1305.649091,10955.0167
62,2.18E-10,1.37E-08,7.51662E-06,0.000898098,0.033942373,154.8756932,1427.603121,10918.50752
63,1.78E-10,3.29E-08,1.99609E-05,0.001903304,109.7503565,627.5431486,2556.235503,12548.85465
64,1.83E-10,1.92E-08,1.06009E-05,0.00101647,57.63857845,802.3126555,2124.008555,13509.32483
65,2.02E-10,7.50E-09,5.12315E-06,0.00052306,0.025076301,379.2044363,1467.374001,13334.89536
66,2.26E-10,9.49E-10,7.07E-07,9.14394E-05,0.004217244,67.4904577,471.5381451,8881.694398
67,2.73E-10,2.06E-09,1.38134E-06,0.000165325,0.009134355,402.7602673,1146.768415,12176.66235
68,2.41E-10,1.03E-09,7.59E-07,0.000100678,147.8439498,184.689072,1549.722373,11953.97982
69,2.00E-10,9.41E-10,1.59326E-06,0.000277356,0.021288109,169.722403,3480.182788,14271.6285
70,2.13E-10,2.90E-09,2.83617E-06,0.000358559,0.018470275,69.13141416,2305.987233,15168.91045
71,1.62E-10,1.98E-09,1.55148E-06,0.000197929,0.010336587,445.5087349,1289.115538,11903.94303
72,1.88E-10,3.16E-09,2.30399E-06,0.000366886,126.6016945,273.089781,1946.992329,13805.28264
73,1.92E-10,9.13E-10,1.0798E-06,0.000162561,97.04004737,45.86770288,1803.466086,13856.72415
74,1.84E-10,9.27E-10,7.40E-07,0.000117232,181.0134671,0.301205533,600.8084942,10428.33659
75,2.32E-10,1.89E-10,1.53E-07,2.78417E-05,0.002031074,180.9544088,1028.627236,9682.268887
76,1.92E-10,2.09E-10,4.45E-08,8.03586E-06,0.000691484,94.98122352,327.3954356,7938.741407
77,2.69E-10,2.02E-10,7.21E-08,1.09513E-05,0.000577856,0.020056128,689.9949508,5705.783128
78,2.35E-10,2.66E-10,6.48E-09,1.11165E-06,6.0905E-05,0.002498424,71.42842297,2255.925356
79,3.11E-10,2.69E-10,4.08E-09,6.56E-07,3.72742E-05,0.001268479,99.34029231,700.8635353
80,3.00E-10,2.60E-10,1.72E-09,3.77E-07,2.31094E-05,0.000837734,0.027202869,521.4082527
81,3.23E-10,2.47E-10,2.50E-10,2.68E-07,1.78057E-05,0.000622736,124.8893173,181.5553057
82,2.60E-10,2.65E-10,3.83E-10,1.71E-07,1.22868E-05,155.1977189,0.017299375,365.4239875
83,3.48E-10,2.64E-10,2.71E-10,1.57E-07,1.02915E-05,0.000428808,0.015438318,547.596049
84,2.86E-10,2.42E-10,3.06E-10,1.21E-07,7.72374E-06,0.000361589,0.014057446,296.207046
85,2.82E-10,2.61E-10,2.45E-10,1.06E-07,8.04824E-06,0.000342913,0.012140497,300.4236278
86,3.33E-10,3.07E-10,2.98E-10,7.77E-08,6.22818E-06,0.000271345,0.010636359,229.2963804
87,2.72E-10,3.14E-10,2.65E-10,6.90E-08,5.55663E-06,0.000251676,0.010700929,45.41729565
88,3.05E-10,2.86E-10,2.55E-10,6.32E-08,4.69973E-06,0.000223803,0.009681174,1.13272242
89,2.81E-10,3.20E-10,2.85E-10,5.77E-08,4.22744E-06,0.00019912,0.007880593,296.1396337
90,2.79E-10,3.80E-10,2.35E-10,4.71E-08,4.05393E-06,0.000197673,0.007724441,479.4303393
