Step,train_acc,train_loss,test_loss,test_acc
0,0.440160841,1.536876321,1.255121231,0.543500006
1,0.582526386,1.176352143,1.082078457,0.6153
2,0.636903822,1.029105663,1.080628753,0.62470001
3,0.674375772,0.933084309,0.95591408,0.659699976
4,0.698003352,0.860778391,0.990668774,0.657800019
5,0.718449891,0.80779618,0.928053975,0.674399972
6,0.732874513,0.766156137,0.882832229,0.693199992
7,0.746058762,0.724716067,0.88014698,0.697300017
8,0.75822264,0.690218925,0.883216977,0.699100018
9,0.770746648,0.652245581,0.923308372,0.690999985
10,0.781009912,0.620942354,0.884085655,0.703400016
11,0.7922135,0.590587139,0.889135659,0.710600019
12,0.802616835,0.562207878,0.918138087,0.708599985
13,0.811099529,0.532829642,0.945864439,0.70389998
14,0.819362223,0.509774327,0.944121003,0.70569998
15,0.829485416,0.483873159,0.970763385,0.699599981
16,0.838948488,0.460205346,1.004987836,0.699299991
17,0.843910038,0.439543664,1.038312078,0.702400029
18,0.850752234,0.422090143,1.042315006,0.697000027
19,0.858274639,0.398978859,1.080973268,0.695200026
20,0.865256906,0.379940718,1.140105605,0.695299983
21,0.869018078,0.364575326,1.164278984,0.693199992
22,0.872659266,0.350955784,1.230541945,0.68690002
23,0.879381418,0.336502999,1.268648267,0.689599991
24,0.885863483,0.319055021,1.26408267,0.698700011
25,0.891125143,0.304213583,1.3265872,0.692799985
26,0.8978073,0.289928079,1.362308621,0.694400012
27,0.900268078,0.281686455,1.417546153,0.684300005
28,0.905149639,0.267018735,1.481392741,0.68720001
29,0.907970548,0.257852644,1.52512455,0.68720001
30,0.909270942,0.251905173,1.54271841,0.683700025
31,0.914252579,0.23974447,1.579625368,0.685299993
32,0.918473899,0.228609964,1.590290785,0.682299972
33,0.919554234,0.223585889,1.671530843,0.683700025
34,0.921714962,0.215662241,1.757880688,0.684199989
35,0.924195766,0.212607786,1.839962363,0.673500001
36,0.925776243,0.206839278,1.892456293,0.681699991
37,0.93105793,0.194916829,1.839940667,0.683700025
38,0.928036988,0.196180701,1.913215041,0.681900024
39,0.933338642,0.183488682,2.005860329,0.674600005
40,0.930677831,0.194896698,2.037793636,0.671800017
41,0.93802017,0.171428874,2.015048742,0.67019999
42,0.935879469,0.176092267,2.027909279,0.6778
43,0.937960148,0.173333257,2.077748775,0.681900024
44,0.942221522,0.15927954,2.157804012,0.684199989
45,0.94046092,0.167800128,2.18944025,0.678200006
46,0.944922388,0.157394648,2.220648289,0.678499997
47,0.944562256,0.156173885,2.284764767,0.66960001
48,0.943962097,0.157211527,2.292319059,0.677999973
49,0.946022749,0.150846988,2.304349422,0.6778
50,0.946102738,0.149132207,2.388997555,0.672200024
51,0.950404108,0.138337404,2.392054796,0.679799974
52,0.951184392,0.13953273,2.572207689,0.673900008
53,0.949063718,0.147021458,2.452154636,0.671000004
54,0.952764869,0.131175637,2.629366159,0.662899971
55,0.949223757,0.143030003,2.596288443,0.67049998
56,0.954025269,0.132116273,2.615473747,0.665199995
57,0.954185367,0.133539945,2.647972345,0.672599971
58,0.953044951,0.133317024,2.648462772,0.682799995
59,0.955165625,0.126124531,2.738826275,0.680499971
60,0.952424765,0.135398477,2.879455328,0.670300007
61,0.955445766,0.12894839,2.640142918,0.681500018
62,0.957826495,0.121400781,2.858777046,0.675100029
63,0.958006561,0.121893458,2.825477123,0.671299994
64,0.958986878,0.119957097,2.865156174,0.666800022
65,0.956246018,0.127390176,2.91105175,0.671599984
66,0.958446681,0.12298888,2.817434072,0.680899978
67,0.957926512,0.11961446,2.845929384,0.67869997
68,0.957986534,0.120954499,2.956649065,0.675700009
69,0.959507048,0.119248569,2.846721172,0.680800021
70,0.961027503,0.114652522,2.898489952,0.671299994
71,0.960487366,0.115402594,2.992652178,0.668900013
72,0.961627722,0.115769871,2.980483532,0.676500022
73,0.963628352,0.105460778,3.035066128,0.672399998
74,0.963028193,0.107963771,3.036192894,0.671500027
75,0.962127864,0.115664013,3.110656977,0.671999991
76,0.964148521,0.102399714,3.172013283,0.671500027
77,0.961187601,0.116284803,3.219339132,0.672599971
78,0.96652931,0.097259454,3.139932156,0.677699983
79,0.962487996,0.113096423,3.231610537,0.670899987
80,0.963848412,0.105996214,3.238105774,0.669499993
81,0.963468313,0.108626284,3.35666728,0.66109997
82,0.968389869,0.092233784,3.363390684,0.671199977
83,0.962167919,0.113209128,3.314803123,0.674199998
84,0.968149781,0.093560435,3.351363182,0.669499993
85,0.966249228,0.101388633,3.460302353,0.668299973
86,0.966269195,0.102922454,3.374979734,0.666899979
87,0.965889096,0.103986189,3.340823412,0.675100029
88,0.965989113,0.101361625,3.372859478,0.676500022
89,0.96526891,0.105658256,3.417482376,0.665099978
90,0.968089759,0.096735016,3.452975273,0.675899982
91,0.966349244,0.100666501,3.476671457,0.674499989
92,0.968249857,0.101579577,3.401416302,0.668500006
93,0.967949748,0.097441189,3.552622318,0.663699985
94,0.967949748,0.095056765,3.570370197,0.674899995
95,0.967109501,0.100215055,3.525528431,0.675999999
96,0.969850361,0.095588893,3.526484489,0.671899974
97,0.969070077,0.096743174,3.417761326,0.6778
98,0.967749655,0.100150593,3.571862936,0.670099974
99,0.972191095,0.088262677,3.572595596,0.665199995
100,0.969550252,0.093335755,3.691395283,0.665499985
101,0.970350504,0.090230785,3.587169647,0.668099999
102,0.968389869,0.095264636,3.661527634,0.661899984
103,0.971951008,0.085646883,3.756196976,0.666899979
104,0.968830049,0.098109528,3.676978111,0.675300002
105,0.969370186,0.098367073,3.666236639,0.673500001
106,0.970850646,0.089651503,3.78401947,0.669399977
107,0.972711265,0.085372947,3.7476089,0.66900003
108,0.969730318,0.095798261,3.731441498,0.671500027
109,0.970030427,0.091225229,3.695756912,0.669099987
110,0.970830679,0.095111318,3.803455353,0.675599992
111,0.969630301,0.097389258,3.674407005,0.675599992
