Step,0,1,2,3,4,5,6,7
1,6.795436382,6.608147621,6.755783081,5.803412437,6.242844582,6.776825905,6.605830669,7.616751194
2,6.235277176,6.753264427,6.17919302,6.039268017,5.778816223,6.135017395,6.607908726,6.985465527
3,5.978187084,6.182168961,5.71427536,5.829936028,5.807152271,5.697719574,5.978775501,6.596990585
4,6.30271244,5.792900562,5.888569832,5.708806515,5.890924931,5.640384197,5.773382187,6.600150108
5,6.197392941,5.049953461,5.469204426,5.469009399,5.697361946,5.148790836,5.32521677,6.133971214
6,5.305222511,4.495876312,4.742303371,4.698061943,4.85603714,4.795425892,4.791945934,5.157902241
7,4.571326733,4.099553585,4.235962868,4.231164455,4.122842312,4.215235233,4.047318935,4.404540062
8,4.537637234,4.175144196,3.980036259,3.845095396,3.758974075,3.896868706,3.687425852,4.182016373
9,4.513628006,4.25956583,3.967392921,3.801915646,3.73234868,3.735778809,3.589066029,4.010972023
10,4.811947346,4.374106884,4.224962711,4.032793522,3.98901701,3.93739295,3.822496414,4.342719078
11,5.120138168,4.446941853,4.367777824,4.216396809,4.092735291,4.018445015,4.341513634,4.569719791
12,5.28474474,4.530881405,4.563525677,4.232260227,4.126335621,4.253182411,4.409993649,4.879614353
13,5.911043167,4.832369804,4.880491734,5.027295113,4.577894211,4.366271973,4.666104794,5.421225071
14,6.637433052,5.457809925,5.299454212,5.925046444,4.926104069,4.909823418,5.308557034,6.186810017
15,7.015422821,5.72108078,5.402862549,6.048257351,5.123863697,4.961359024,5.460400581,6.430263996
16,7.438785076,6.127548218,5.677979946,6.090542793,5.730180264,5.193542957,5.589296818,6.711688042
17,7.777680397,6.728979588,5.835857391,5.680697441,6.081034184,5.619945526,5.964081287,6.970346928
18,8.204739571,7.129676342,6.161375523,5.412331581,6.355739594,6.516465664,6.505700588,7.170122623
19,9.174368858,7.949399471,6.718924046,5.825132847,6.631721497,7.053833008,7.398013592,8.009750366
20,9.248864174,8.96141243,7.45450592,5.857505798,6.563938618,7.27746582,8.247217178,9.401720047
21,8.320959091,8.762395859,7.376783371,5.819015026,6.325007439,7.061632156,7.972924232,9.165884972
22,8.070489883,8.829999924,7.615708828,6.021892071,6.175349712,7.075744152,7.783927441,8.590893745
23,8.473875999,8.350830078,7.406201363,6.053352833,6.183769226,6.701383591,6.969364166,7.89273262
24,9.37276268,8.830126762,7.519611359,6.84210968,6.615686417,6.485550404,6.416944504,7.976746082
25,9.9662714,9.102523804,7.863263607,7.622659206,7.16468811,6.280130863,6.354702473,8.419548988
26,11.0394268,9.671655655,9.275202751,8.72800827,7.859941959,6.846208096,6.927319527,8.953607559
27,12.19267368,10.56843281,10.52426243,9.817023277,8.952822685,7.987502575,7.678654671,9.605733871
28,13.80339527,11.75965309,11.26933002,10.64325142,10.0283823,8.897168159,8.322717667,11.23087692
29,15.43462658,13.80302143,12.63978958,11.8983469,11.10778618,9.447399139,9.062415123,12.60609245
30,17.17672157,14.68599796,13.32996273,13.22684383,11.8738203,9.992273331,10.25774097,14.31360722
31,20.86484146,17.12095261,16.14434433,15.1021471,14.04793262,11.92277241,12.46301365,16.87230301
32,24.14381218,20.6727047,19.77148438,17.12869644,15.73655891,14.96982765,15.07986069,19.40229988
33,31.19625854,24.19873047,21.66431236,17.50066757,16.91343117,18.414608,19.74042511,22.73985672
34,37.09348679,31.95154953,24.20125961,19.65135384,20.88488007,22.82475471,24.85956192,27.06578827
35,41.21275711,34.26904678,28.69118309,23.13991928,25.51207352,29.94060516,30.07587624,32.26925278
36,45.86230087,40.48397064,33.77216339,26.66755104,27.62722778,34.53283691,34.45862961,37.04951859
37,50.07349396,47.19960022,41.74592209,31.96986771,32.00931931,40.11220169,42.0343399,43.13228226
38,57.35170364,47.99929428,42.9983139,37.62443542,37.53942871,39.85541534,44.63031769,44.2824173
39,67.24852753,52.13397598,44.77481461,43.56209946,42.64897156,43.22402191,46.80934143,47.39812088
40,74.28276825,55.2124939,46.45332718,46.15693665,42.42712784,50.18151474,52.71634293,52.25359726
41,75.0140152,52.73312759,46.15647507,40.83973694,43.27990341,50.6048584,49.09033966,55.16348267
42,82.15871429,56.84301376,46.90559006,42.23352432,48.69898987,57.90969467,55.97874451,62.57777786
43,90.56565857,67.55866241,55.40795135,51.69632339,63.18391037,74.92752838,68.73034668,80.41999054
44,112.4372711,91.77058411,78.10203552,81.05422974,85.80921173,101.367691,100.7573242,96.98022461
45,140.3257141,121.5689087,113.3234558,112.0410461,119.4786835,127.0928955,130.8495789,123.9429321
46,166.5547333,163.7601013,154.6746979,142.9108124,162.5582886,167.1858826,165.6261139,167.1330261
47,170.7023468,185.2201538,181.7258148,171.5452881,194.3620148,194.9532623,187.4222107,204.4019165
48,189.5747375,195.9869232,204.9661255,187.3405304,222.847229,218.9593964,225.5523987,203.9151306
49,201.306488,219.2510834,210.8518066,207.343689,229.183197,232.6426544,217.3138275,186.0993042
50,239.1502991,212.1206665,178.4637756,190.1866913,201.8673706,227.0452728,232.3203583,209.2945709
51,238.4512024,190.8329773,187.9467163,201.2660522,204.4966583,216.0605316,235.9458771,242.083374
52,222.4047546,186.3769226,176.1947174,199.0276031,215.1110535,234.9392853,223.7865143,244.2695923
53,243.6528625,206.9893646,219.5893402,201.2500763,239.282074,241.0099945,248.946579,241.3364716
54,259.3523865,236.6111755,234.3171082,229.7942505,219.0362396,264.3442078,258.6273499,240.2201385
55,244.623703,275.4985962,256.1885681,223.3338013,240.9602814,310.1968994,291.4199219,214.7088928
56,241.6354523,247.3616028,232.5452728,254.2011414,252.875946,296.808075,270.166748,259.6782532
57,249.269516,225.5823517,209.9533234,258.7847595,281.700592,328.6291199,279.0355225,256.2404785
58,263.7130432,190.2415314,210.4726715,239.2972412,260.4224243,323.556427,266.0393982,247.3329926
59,262.8868408,190.324646,188.390625,218.2641296,238.4329987,292.5491028,269.2432556,229.3733978
60,224.938736,201.111145,182.3240051,183.9272461,226.8297729,254.3193359,240.5096588,212.6499176
61,208.9055481,180.4975128,168.3764191,161.5549011,218.5547333,247.7760162,227.0284729,187.8838196
62,186.764389,172.5721893,167.3382568,181.7462006,220.9474792,232.9629974,211.9589539,178.6374969
63,196.3043213,172.438385,149.7724915,169.2537231,193.4412842,220.2975006,191.6898499,202.7960358
64,188.4664459,171.0043488,160.1153717,161.882782,191.5460968,205.1180878,200.3204803,195.0731201
65,196.105011,180.9069977,168.0848999,159.7511597,186.8504944,198.316803,200.0608826,205.9504395
66,173.9888458,162.933075,172.220871,181.9900818,183.805191,223.8696747,206.7893372,203.3565674
67,160.5059052,159.7493896,173.5817566,190.1746521,207.0661469,230.3650513,214.3223114,226.2300415
68,181.454834,181.5991058,180.398941,217.3708801,227.1912231,260.4319458,248.3318939,247.4150696
69,205.9543304,194.8130798,204.5687561,226.6448517,309.4374695,273.5586853,250.7226563,282.7155457
70,216.5532837,217.6326447,230.329834,301.9577026,353.4431763,309.4438782,304.3717957,302.9345093
71,291.3824463,233.6748047,271.4079895,399.9391479,440.1517944,348.600708,315.0779724,332.4572144
72,297.5668335,249.5594025,302.2553711,432.5114441,506.6916809,374.7127075,345.6014404,347.7148132
73,307.3389587,290.4820862,337.8164368,488.4891357,520.2269287,436.9804382,387.2418213,379.6682434
74,313.6720276,306.867218,339.299469,506.3870544,599.2692261,513.1504517,372.33078,467.1635742
75,279.7582703,332.5163574,346.927124,510.0824585,558.0896606,538.3127441,450.1055603,481.1758118
76,330.3243103,344.5113525,354.0791321,561.0485229,616.112793,561.7932129,484.5192261,499.5123291
77,358.5064087,414.9087219,419.4359741,588.2771606,687.223938,581.1901245,536.2325439,535.2659912
78,385.7333374,497.1904907,455.3104553,645.8244629,717.8585815,646.534668,516.2556763,557.6797485
79,408.9919128,456.1166382,459.4550171,657.8158569,743.09198,690.024353,544.637207,606.5710449
80,399.1448669,473.2586975,505.057251,655.0606689,780.4173584,721.0112305,570.6392822,607.1837769
81,400.9159851,519.8529663,560.5441284,690.5637817,782.2368774,707.9162598,596.0105591,679.5620728
82,423.0460205,566.2374878,553.1305542,682.3435059,815.3560181,745.8477783,628.7218628,637.6405029
83,424.84021,670.4304199,621.3414307,745.7579956,926.5605469,827.4498291,686.4946289,694.6178589
84,448.3141479,646.1234741,700.5617065,657.2015381,891.0966187,844.1138916,671.6085205,741.0947266
85,448.6762085,634.7977905,803.1011963,645.9559326,866.434082,850.3608398,697.8868408,709.4194946
86,453.7597351,741.8824463,886.7850342,682.3481445,846.6636353,873.8551025,716.5945435,763.456665
