Step,0,1,2,3,4,5,6,7
0,13585.3916,21469.89844,24736.25,25791.0332,26316.05078,26705.58984,26977.42383,25878.20898
1,8514.777344,16758.37695,22171.05273,24858.12891,27162.48633,28369.56836,28736.65234,25849.79492
2,4739.895996,14565.96387,23938.71289,30031.74414,32483.62891,34857.80078,35130.82813,30836.96484
3,3143.241943,12550.36133,21642.44727,31507.11914,38731.83203,42206.72656,40977.35938,37355.12109
4,2254.238525,9887.874023,21384.25781,32611.24219,43280.43359,50226.76953,51838.87109,46421.51953
5,1723.539551,9538.847656,21037.71289,37242.09766,51259.07422,60688.35547,61493.66406,52406.35547
6,1938.1698,8163.594238,19207.7793,38853.08594,57274.77344,72864.28125,72401.875,53488.45703
7,680.2617798,4801.606445,14422.30078,30270.18555,53065.49219,79824.6875,98221.94531,82515.26563
8,132.1918945,2425.368408,7366.867676,19340.40234,35700.19141,65937.40625,104121.2578,111005.4922
9,305.3799744,1595.666016,4521.855957,12424.06543,31937.4707,63248.48047,112950.1094,131778.5
10,73.525383,999.9134521,3586.621338,8222.914063,18186.61523,49807.08594,102984.2188,154398.25
11,0.002277173,149.2011414,2639.237549,7203.780762,20120.76172,55594.92969,140478.7031,188862.1563
12,0.002167847,379.3947449,1456.182617,5503.711426,16158.62988,38469.48828,110120.7578,205898.5781
13,0.000279226,301.2328491,974.4215088,2785.813721,5183.467773,15932.55957,56714.15234,194985.9219
14,0.000148716,112.1883392,1234.962158,2742.136963,4787.160156,18979.01367,73188.69531,212782.4375
15,3.8477E-05,0.00483021,283.4286194,1131.974365,3686.106689,14765.14258,49676.16797,210881.2813
16,2.36437E-05,0.003029221,111.0876083,1369.478394,2652.41626,11780.09277,33023.91016,178563.6875
17,3.0785E-05,0.003989035,208.1130066,367.8048401,2598.343506,13166.44336,52257.61719,216844.1875
18,3.97497E-06,0.000623822,0.016939646,165.3043365,1023.012268,6755.928711,24855.80859,190692.1563
19,3.74132E-06,0.00048867,404.782196,226.5928497,1711.646118,4523.013672,13091.66992,106151.2656
20,2.0297E-06,0.000255222,187.7998657,153.4117584,527.8400879,3232.651123,9052.273438,90276.59375
21,9.00E-07,0.000121377,308.3821411,0.028313685,823.3773193,1416.506592,3877.662598,64409.50781
22,3.39E-07,4.66666E-05,0.000929068,624.6676636,557.7483521,1158.94165,2512.344727,41166.91797
23,2.50E-07,3.11009E-05,0.00062109,182.3177338,399.365448,459.8292847,2026.181885,24768.76953
24,2.11E-07,3.21563E-05,0.000837381,0.011177329,744.4128418,994.5300293,3838.047363,78218.03125
25,1.68E-07,2.58306E-05,0.000674287,0.008667254,269.6666565,492.1884155,4869.933594,82366.08594
26,1.05E-07,1.39666E-05,0.000288666,0.003014077,392.5660095,452.3748779,1927.797974,17131.82617
27,7.36E-08,7.76276E-06,0.000144806,0.001272635,0.007815766,0.042797852,259.7800598,5662.834961
28,4.91E-08,6.26598E-06,0.000123811,0.001023551,0.006173652,0.034120549,537.2905884,4300.639648
29,4.94E-08,6.0806E-06,0.000116701,0.000967835,0.005753685,264.3473511,610.8607788,4215.202148
30,3.15E-08,4.47279E-06,0.000100046,250.7693329,301.6636658,264.9112244,1045.993652,8509.924805
31,3.00E-08,3.67338E-06,7.31218E-05,0.000678806,0.004563623,0.026359612,321.0581665,6968.147461
32,3.26E-08,3.07608E-06,5.83194E-05,0.000494866,0.002952015,323.052948,245.6447449,1693.47522
33,1.67E-08,2.28108E-06,4.98261E-05,0.000423694,0.002587709,0.013637254,334.9787903,3556.244629
34,1.59E-08,2.15778E-06,4.56842E-05,0.000385086,0.002234207,0.011409932,374.9170227,1791.036499
35,1.55E-08,2.00691E-06,4.04368E-05,0.000344583,0.001950559,303.9562988,396.1773682,1946.715332
36,1.70E-08,1.70377E-06,3.55926E-05,0.000307408,294.775238,0.008563236,0.047353432,1423.477051
37,1.71E-08,1.8192E-06,3.78642E-05,0.000316393,0.001869012,0.009548737,232.3236542,2691.138428
38,1.67E-08,1.5557E-06,305.4443665,0.000284034,0.001600953,0.008138426,0.046708856,4126.892578
39,1.68E-08,1.56212E-06,258.105896,0.000262598,0.001453604,0.007263632,325.4067688,2789.373291
40,1.72E-08,1.41102E-06,2.62674E-05,0.000209609,0.001127084,0.005453855,0.02828634,2036.116577
41,1.69E-08,1.26084E-06,2.56578E-05,0.00021084,321.8172607,428.9272156,598.96875,1666.644165
42,1.72E-08,1.20268E-06,2.18676E-05,0.00017991,0.000994193,0.004749307,0.024537245,2110.993164
43,6.07E-09,8.22E-07,1.90162E-05,0.000155061,0.000843138,398.8754578,0.019399703,1634.489868
44,6.14E-09,8.37E-07,1.80353E-05,0.000147556,221.2280426,0.003663105,247.6063995,2555.83252
45,6.37E-09,7.99E-07,1.78791E-05,0.000152085,0.000909834,282.6388855,0.024144288,2784.497803
46,6.05E-09,7.17E-07,1.49945E-05,0.000124462,0.000675089,0.003293098,0.01738029,1256.084473
47,6.10E-09,7.20E-07,1.67874E-05,0.000137222,349.6199036,0.003750816,454.5331116,3352.857422
48,6.09E-09,7.29E-07,1.5284E-05,0.00012752,0.000706039,0.003410876,0.018549621,2350.526123
49,6.03E-09,6.24E-07,1.33173E-05,0.000112621,0.000611759,0.002806291,462.1856689,1918.947144
50,6.12E-09,5.42E-07,1.15393E-05,9.6932E-05,0.000530654,213.0606232,0.01274723,2173.249756
51,6.27E-09,5.42E-07,1.10282E-05,9.41915E-05,0.000541987,0.002588936,0.013738951,2190.932129
52,6.20E-09,4.75E-07,9.56234E-06,7.76749E-05,0.000426839,0.001904689,0.009307695,1723.315796
53,6.14E-09,4.42E-07,1.0036E-05,8.75571E-05,0.000502221,0.00249229,0.013955106,2879.374268
54,5.91E-09,4.50E-07,9.46459E-06,7.69512E-05,0.000422416,0.001924663,0.009431181,1496.611206
55,6.31E-09,4.52E-07,9.04008E-06,6.87282E-05,0.00037566,346.1575012,0.008026789,1548.979858
56,6.47E-09,3.73E-07,8.22835E-06,6.97719E-05,0.00038153,0.001767991,0.00885098,2623.044189
57,6.14E-09,4.70E-07,9.09162E-06,7.26343E-05,0.000408285,0.001962736,362.8152466,1837.380493
58,6.29E-09,4.72E-07,9.13932E-06,7.13849E-05,0.000373658,374.0256958,0.008024635,2346.566895
59,6.29E-09,4.68E-07,8.98171E-06,6.71446E-05,0.000361607,0.001720333,264.960022,1750.10791
60,6.26E-09,3.80E-07,7.28792E-06,5.69888E-05,0.000306037,0.001389145,0.006776246,1697.484863
61,6.24E-09,3.99E-07,6.82015E-06,5.4252E-05,0.000287762,0.001327093,293.4645691,934.3800049
62,6.28E-09,3.18E-07,6.34458E-06,5.34211E-05,0.000286754,0.001349688,836.1131592,1653.272217
63,6.67E-09,4.58E-07,1.18879E-05,0.000128786,0.001025626,0.007894426,984.5108643,12934.62598
64,6.77E-09,3.96E-07,6.80801E-06,5.43892E-05,0.000289527,0.00129078,0.006166494,1580.342651
65,6.44E-09,3.28E-07,5.36456E-06,425.2146301,0.000234031,0.001012412,0.004711909,2412.808105
66,6.37E-09,3.12E-07,5.53534E-06,4.52763E-05,0.000228449,0.001027607,0.004729681,2237.161377
67,6.61E-09,3.18E-07,5.75836E-06,4.77614E-05,0.000260205,0.001185913,0.00595145,1931.290894
68,6.53E-09,2.44E-07,5.41147E-06,4.20324E-05,387.7861633,0.001017953,0.004936933,1835.237549
69,6.25E-09,2.43E-07,4.76779E-06,4.16522E-05,0.000215723,0.000954221,402.4308777,2110.205078
70,6.93E-09,2.45E-07,4.81746E-06,3.95414E-05,0.000207121,0.000932912,554.7471924,945.8834229
71,6.38E-09,2.53E-07,4.74134E-06,3.98698E-05,0.000205201,0.00087827,0.004015652,2004.131958
72,4.78E-10,1.27E-07,4.05849E-06,3.31297E-05,0.000170868,0.000750143,0.003482214,1456.351318
73,4.42E-10,1.27E-07,4.28155E-06,3.48399E-05,0.00019464,0.00090149,381.8308411,1496.385742
74,6.87E-09,2.53E-07,4.27469E-06,3.5899E-05,0.000193644,0.00091308,382.1325989,1205.302246
75,4.29E-10,9.24E-08,3.64617E-06,3.02416E-05,0.00015987,0.000741756,0.00362218,1980.183594
76,4.33E-10,1.32E-07,3.99469E-06,3.20882E-05,0.000166629,0.000755847,0.00368688,1265.889771
77,4.21E-10,1.31E-07,4.00534E-06,3.20284E-05,0.000169826,216.1949921,0.003684176,2321.543457
78,4.69E-10,1.35E-07,4.05007E-06,3.08965E-05,0.000164865,0.000767442,0.003662016,3190.299316
79,4.89E-10,1.25E-07,4.38512E-06,3.36777E-05,0.000176652,0.00077394,410.409668,1151.758179
80,4.08E-10,9.01E-08,3.4376E-06,2.82985E-05,0.000142729,0.000616478,0.002787592,2516.841797
81,4.21E-10,9.17E-08,3.50631E-06,2.72948E-05,0.000137848,312.6331177,0.002690645,711.8387451
82,4.16E-10,9.52E-08,3.20874E-06,2.56786E-05,0.000134349,0.00058278,0.002754491,1620.909424
83,4.56E-10,6.40E-08,2.49707E-06,2.15535E-05,0.000115619,0.000529967,0.002523876,916.5244141
84,4.29E-10,9.62E-08,3.18288E-06,2.65144E-05,0.000138561,279.1028748,0.002838427,660.6723633
85,4.96E-10,9.42E-08,3.1071E-06,2.2989E-05,0.000119631,0.000516141,0.002491465,2973.662354
86,4.46E-10,9.62E-08,2.92491E-06,2.29891E-05,0.000129473,380.9029541,0.002666617,2648.63623
87,4.93E-10,9.49E-08,2.79265E-06,2.11132E-05,0.000110848,0.000482583,0.002183963,1082.890259
88,4.42E-10,9.31E-08,2.78099E-06,2.12576E-05,0.000109731,0.000470601,0.002192202,2554.92334
89,4.80E-10,6.39E-08,2.2666E-06,1.90838E-05,9.96609E-05,0.000458569,0.002160168,1476.078003
90,4.23E-10,6.41E-08,2.28346E-06,1.90668E-05,9.90758E-05,0.000433595,0.00200423,953.0499268
91,4.74E-10,9.71E-08,2.7721E-06,2.23891E-05,0.000122471,0.000555932,0.002892522,2420.483887
92,4.60E-10,9.48E-08,2.82127E-06,2.04425E-05,0.000100958,288.7418518,0.002058432,2912.720947
93,5.05E-10,6.27E-08,2.27669E-06,1.91996E-05,9.83291E-05,0.000423324,331.9901428,1976.222412
94,4.54E-10,6.44E-08,2.08197E-06,1.67508E-05,9.0024E-05,0.000373973,390.3625488,1437.818604
95,4.78E-10,6.46E-08,2.06902E-06,1.66832E-05,9.10252E-05,0.00042711,0.002058944,1254.364258
96,5.33E-10,6.46E-08,1.89879E-06,1.51042E-05,7.8973E-05,0.000337378,0.001592982,2294.654297
97,5.31E-10,6.48E-08,2.09201E-06,1.68705E-05,8.77129E-05,0.000386618,407.5001221,1038.70166
98,5.11E-10,6.95E-08,1.89773E-06,1.45949E-05,7.48097E-05,0.000330342,0.001524865,1200.367432
99,5.26E-10,6.37E-08,1.89316E-06,1.52265E-05,7.70251E-05,0.000326527,0.001488087,1445.565918
100,4.94E-10,6.34E-08,1.89082E-06,1.4174E-05,7.09843E-05,0.000307744,0.001429482,1805.972778
101,5.27E-10,6.56E-08,1.90289E-06,1.44968E-05,7.50353E-05,0.000329746,0.001541038,702.9733276
102,4.87E-10,6.60E-08,1.91348E-06,1.44634E-05,7.53922E-05,364.8005676,0.001607481,1780.021484
103,5.29E-10,3.96E-08,1.49898E-06,1.28602E-05,6.9282E-05,0.000306582,0.001464717,1037.877441
104,5.13E-10,4.12E-08,1.46664E-06,1.371E-05,6.92539E-05,0.000300954,0.001393832,882.1543579
105,5.24E-10,6.67E-08,1.92861E-06,1.4988E-05,7.79782E-05,0.000337249,0.001617385,1137.01355
106,5.00E-10,4.27E-08,1.52545E-06,1.30467E-05,6.75996E-05,0.000284613,0.001314391,1436.244263
