Step,0,1,2,3,4,5,6,7,,,,,,
0,10197.74805,10167.77246,10021.68359,10053.66309,9998.710938,10026.50391,10139.40527,10315.31543,,,,,,
1,6387.255371,6064.899902,6105.058594,6184.146973,6100.21582,6160.249023,6091.44873,6403.006836,,,,,,
2,4164.38623,3853.6521,3904.13501,3934.850098,3994.315186,3973.213623,3990.415039,4159.424316,,,,,,
3,2872.298584,2753.709473,2732.47168,2757.57373,2751.153076,2706.166504,2741.198242,2925.882324,,,,,,
4,2112.356689,2085.750488,2036.533936,2063.156494,2066.261963,2047.975098,2023.332642,2137.160645,,,,,,
5,1670.109497,1664.054688,1630.420044,1644.172241,1620.989746,1613.019165,1600.954468,1691.713745,,,,,,
6,1410.417114,1414.028076,1352.582275,1348.994751,1356.452271,1345.100342,1338.639038,1398.266113,,,,,,
7,1226.432983,1202.169312,1178.240112,1146.968506,1154.336914,1143.952881,1139.91687,1185.528931,,,,,,
8,1075.591919,1048.723267,1017.933655,995.1278687,990.9931641,995.4984741,996.2718506,1036.709473,,,,,,
9,980.0714722,941.5271606,919.7097168,906.5820313,894.9883423,877.7212524,889.7971191,932.366394,,,,,,
10,916.5471802,831.6937256,805.1172485,803.4385376,792.4555054,778.3336792,781.7706299,822.3505859,,,,,,
11,880.6776123,760.8760986,733.367981,723.9868164,719.7202759,692.2443848,693.4898071,749.380188,,,,,,
12,843.7842407,710.1903687,682.916748,661.4487305,657.819519,641.9860229,627.9009399,673.458313,,,,,,
13,886.895874,697.90979,665.2589111,638.3687744,624.2963867,602.067749,586.0792847,662.484436,,,,,,
14,932.7341309,684.2817383,659.430481,616.2306519,590.5872803,582.0430908,558.8781738,653.2821045,,,,,,
15,992.5447388,703.1400757,644.2498169,592.324707,570.8435059,560.2280273,524.5508423,640.7217407,,,,,,
16,1071.566895,701.3690186,612.0460815,567.5644531,561.96698,570.2120972,502.0323792,652.555481,,,,,,
17,1151.619019,774.8108521,643.3973389,577.958313,552.6263428,541.5933838,465.6757507,664.1835327,,,,,,
18,1189.81543,775.1398926,629.2484741,553.6317139,515.1584473,517.5457764,464.0635986,662.1888428,,,,,,
19,1298.755371,791.3580933,631.0664063,539.4754639,501.2521057,505.2505188,452.3327332,685.2930908,,,,,,
20,1408.61084,803.0776978,620.5370483,520.2646484,485.5109863,495.1138611,429.5769043,675.0267944,,,,,,
21,1473.953979,828.725708,658.2817993,526.9334106,480.8059387,475.0842896,441.0201111,679.0493164,,,,,,
22,1609.437622,869.4926758,657.3294067,532.7636108,451.6023865,477.2835388,425.7469482,706.6426392,,,,,,
23,1776.119263,920.1903687,671.7919312,547.9519653,478.158905,513.3903809,442.7767639,744.4823608,,,,,,
24,1766.891357,971.9952393,689.8995972,512.2738037,433.8569031,499.2152405,432.216095,730.7022095,,,,,,
25,1863.363159,1051.188354,711.4485474,611.6729736,453.2939758,528.340271,438.3552246,735.7677612,,,,,,
26,1997.624634,1080.56311,785.9572754,538.098938,457.5038757,513.9046631,433.3027954,816.092041,,,,,,
27,2088.977051,1104.556885,768.8040771,513.3499756,452.7624817,516.5748901,438.9312439,823.7505493,,,,,,
28,2133.383789,1178.425293,838.2524414,567.4834595,459.9933472,525.9049683,460.1856689,888.8617554,,,,,,
29,2199.044678,1246.161987,853.4520874,625.8250732,488.4091492,510.9371643,479.8940125,897.5532837,,,,,,
30,2340.364502,1319.102417,882.8379517,612.9370117,501.3320618,530.2960205,489.2035522,985.0601196,,,,,,
31,2335.262695,1346.567017,904.3225708,614.2739258,503.6311646,536.0189819,485.2748108,906.173645,,,,,,
32,2542.701416,1378.736572,959.3035278,715.8717041,540.4797363,591.895752,514.9576416,1044.568848,,,,,,
33,2509.567383,1420.585693,983.0653687,735.4574585,572.0115356,587.4053345,506.02948,1007.04657,,,,,,
34,2673.468994,1474.572021,1034.062866,740.2049561,588.7232056,615.4055786,517.2615967,1070.766479,,,,,,
35,2658.152832,1534.287354,1081.919556,796.7406006,593.956604,609.5009766,550.6248169,1057.665405,,,,,,
36,2702.272461,1653.321655,1165.179321,829.2619019,689.8804321,622.9245605,575.9501953,1173.917969,,,,,,
37,2952.11084,1713.902222,1262.879517,900.6500854,669.0308838,686.2138672,631.8984375,1201.511353,,,,,,
38,2949.694824,1772.749268,1303.005127,993.4393921,772.5023804,703.7095947,663.9714966,1369.366089,,,,,,
39,2886.975098,1886.310547,1381.939453,1049.613892,814.2026978,761.4777832,696.9365845,1355.794434,,,,,,
40,2956.719482,1917.952881,1374.877075,1098.250244,889.4315186,862.4729614,688.352478,1484.014526,,,,,,
41,3182.210449,1976.062866,1458.316895,1089.107544,891.6538696,790.678833,760.3252563,1506.849609,,,,,,
42,3303.939453,2087.794922,1610.957153,1159.179565,942.1204224,855.4332275,821.5003052,1460.614502,,,,,,
43,3460.687744,2139.67334,1726.697021,1277.286255,1013.057739,905.6820679,891.1231079,1617.666504,,,,,,
44,3263.952881,2157.652832,1787.970093,1350.597534,1077.595459,921.7386475,843.3575439,1654.156982,,,,,,
45,3303.146729,2244.13208,1793.416626,1319.536011,1060.401855,945.5024414,853.4616089,1692.560181,,,,,,
46,3187.646484,2242.723877,1820.086426,1393.22229,1122.558594,996.5540161,950.189209,1821.544189,,,,,,
47,3604.615479,2405.275635,1951.30957,1495.417969,1187.707031,1039.217285,974.3464966,1818.604004,,,,,,
48,3590.049316,2554.283203,1970.079346,1560.790283,1247.493042,1099.074341,1007.821594,1823.767334,,,,,,
49,3510.319092,2572.217041,2086.290771,1676.165161,1337.448608,1104.314941,1091.490479,1881.825806,,,,,,
50,3628.133789,2556.424561,2072.759033,1651.404297,1294.01123,1142.352661,1127.233643,1861.071655,,,,,,
51,3570.820801,2602.146729,2197.51001,1714.640503,1348.104248,1197.12207,1103.739868,2032.849487,,,,,,
52,3586.236816,2813.746826,2272.138672,1831.609131,1358.717651,1260.182617,1124.077393,1959.364258,,,,,,
53,3520.547852,2698.875488,2233.279541,1976.714722,1460.273682,1260.552856,1206.99646,1934.841919,,,,,,
54,3809.960938,2791.209961,2441.19458,2024.381958,1548.64502,1308.258301,1331.767456,2178.617188,,,,,,
55,3871.012695,2908.240723,2535.092773,1989.624268,1645.695679,1351.026733,1305.763672,2103.844727,,,,,,
56,3793.368652,2938.546387,2751.757813,2117.631592,1610.992554,1391.643799,1377.786011,2583.953613,,,,,,
57,3702.90918,3096.85791,2712.580078,2304.969727,1760.884888,1421.117798,1454.806885,2391.539063,,,,,,
58,3729.451904,3203.867432,2717.644775,2281.258301,1756.364502,1429.012329,1442.584351,2489.154297,,,,,,
59,3848.246338,3226.91626,2920.918701,2394.095703,1996.483032,1609.108643,1500.154053,2592.791992,,,,,,
60,3882.450195,3103.982666,2984.156494,2550.035889,2015.527954,1723.353516,1628.81604,2715.010254,,,,,,
61,3934.857422,3236.983154,2914.265381,2549.616211,2049.60376,1690.916748,1650.116821,2749.348633,,,,,,
62,3980.337646,3344.817871,3167.930176,2705.956543,2083.947266,1682.070435,1643.062988,2865.183105,,,,,,
63,4155.643066,3224.580566,3100.161133,2736.012695,2370.619141,1763.69458,1804.219482,2756.562988,,,,,,
64,3924.740723,3511.878174,3455.05249,2960.530518,2392.605713,1898.217773,1878.346802,3053.369629,,,,,,
65,3887.009033,3443.413086,3530.0979,3049.823975,2590.503174,1919.349243,1922.71814,3185.856689,,,,,,
66,4225.626953,3596.248779,3468.659912,2969.156006,2575.077393,1880.610107,2011.946899,3126.222656,,,,,,
67,4380.172852,3680.192139,3580.108398,3210.47998,2771.511963,2107.970459,1927.474487,3319.885742,,,,,,
68,4279.793457,3731.596924,3608.365967,3234.000977,2580.602051,2137.536865,2055.397217,3333.705322,,,,,,
69,4073.741943,3816.648438,3763.029053,3570.14624,2886.640381,2197.544678,2195.79541,3392.121582,,,,,,
70,4319.995605,3861.642334,3926.656006,3518.87915,3003.865723,2351.217773,2259.381348,3478.061523,,,,,,
71,4274.644531,3931.014404,3726.413086,3539.179932,2938.641357,2324.789551,2293.031006,3351.425537,,,,,,
72,4281.754395,4042.310791,4106.697754,3825.262207,3112.629395,2494.433594,2439.906006,3405.259521,,,,,,
73,4747.605957,4392.946777,4027.38623,3812.254639,3193.106201,2541.423584,2389.596924,3811.779541,,,,,,
74,4068.904053,4060.253906,4434.29248,3985.372559,3435.854004,2735.406494,2727.375244,3657.25415,,,,,,
75,4419.933105,4148.678711,4356.270508,4036.407227,3701.959229,2845.37793,2640.029541,3816.268311,,,,,,
76,4652.275391,4694.101563,4579.000977,4095.755371,3446.067383,2677.074951,2894.594727,3821.356689,,,,,,
77,4859.427734,4413.473633,4764.584961,4385.208984,3682.66626,3013.699951,2812.794434,4029.861084,,,,,,
78,4738.512207,4554.549316,4681.424805,4416.069824,3869.073975,3106.486328,2880.717529,4358.429199,,,,,,
79,4768.135254,4833.787598,4771.458496,4459.583984,3908.100098,3189.898926,3181.48584,4424.642578,,,,,,
80,4598.52002,4718.458984,4956.181641,4577.134766,4098.985352,3118.53125,3041.312744,4197.854492,,,,,,
81,4679.573242,4761.411133,5156.757324,4648.993164,4531.039063,3392.080322,3110.866943,4700.48584,,,,,,
82,5156.844238,4965.691406,5005.495117,4921.422852,4544.911621,3523.94165,3399.029297,4666.465332,,,,,,
83,5005.585449,5334.731934,5588.382324,5161.289063,4618.862305,3661.907227,3625.75415,4968.0625,,,,,,
84,5152.282227,5108.197754,5540.588867,4962.32959,4576.90918,3713.242188,3650.628418,4655.589355,,,,,,
85,5060.536133,5389.81543,5714.930664,5148.816406,4780.81543,3814.627441,3636.060303,4732.825684,,,,,,
86,5339.788574,5230.509277,5845.793457,5471.275879,4873.075195,4294.382324,4044.33374,5338.596191,,,,,,
87,5114.394043,5753.397461,6136.432129,5449.289063,5011.935547,4258.106445,4033.425049,5268.972656,,,,,,
88,5625.95752,6144.712402,6510.279785,6091.242188,5941.540039,4811.763672,4345.754883,6073.39502,,,,,,
89,5353.202637,5907.503906,6143.946289,6060.847168,5251.135742,4590.060547,3904.494629,5577.345703,,,,,,
90,5280.029785,6350.063477,6952.670898,6415.225586,5741.632324,4740.539551,4308.342773,5917.224121,,,,,,
91,5762.591797,6599.216309,6708.459473,6518.793457,5959.913574,4996.486328,4836.899414,6657.691895,,,,,,
92,5878.109375,6317.325684,6683.583008,6870.34375,6262.089355,5066.534668,4872.822266,6327.829102,,,,,,
93,5613.614746,6527.828613,7357.970215,7421.363281,6185.530762,5236.338379,4917.047852,6425.839355,,,,,,
94,6135.700195,6935.644043,7634.397461,7313.755859,6485.893555,5765.613281,5721.152832,6973.539063,,,,,,
95,6212.786621,7045.321777,7534.736816,7452.44873,6988.732422,5473.335938,5297.032227,6719.773926,,,,,,
96,6920.947266,7392.071289,7764.010742,7703.229004,7110.937012,5908.907227,5270.187012,7117.875977,,,,,,
97,6351.370605,7524.891602,8098.040527,8172.888184,6684.259277,5873.345703,5820.757813,7569.287598,,,,,,
