Step,0,1,2,3,4,5,6,7
1,11307.24121,12118.71094,11900.71094,11573.36035,11279.78516,11467.99609,11874.9209,10953.41016
6,4335.632324,4524.744629,4512.348145,4504.091309,4478.973145,4178.774414,4335.135254,4525.723145
11,2419.952637,2497.749756,2402.515137,2407.048096,2405.640869,2351.336426,2311.740234,2363.621338
16,1701.117798,1586.080688,1589.858398,1576.374756,1604.927368,1644.753784,1600.936035,1574.695435
21,1388.913452,1445.012451,1408.734253,1271.415649,1229.263794,1295.616943,1312.196167,1268.327393
26,1313.156006,1251.616699,1218.184692,1220.526855,1242.016968,1115.708374,1284.273926,1301.284668
31,1251.643799,1247.634521,1239.417725,1023.490784,1265.955688,1318.301514,1250.260864,1299.82605
36,1199.773315,1116.935303,1147.763428,1050.584595,1076.480591,1127.181519,1101.427734,1068.896973
41,1373.109985,1250.180786,1101.531128,911.4063721,833.3294067,764.0160522,976.4605103,1353.952637
46,1430.990112,1127.668945,900.3187866,769.0479736,734.7406006,652.0167847,567.9977417,884.6600952
51,1757.91748,962.3792114,844.1715088,888.3054199,665.0006714,588.0825195,564.2005005,968.3195801
56,1751.858887,1103.899536,774.5668335,1128.643555,841.3356323,711.8168335,784.4038086,1113.764282
61,1458.198608,938.3972778,851.4172974,951.8816528,713.5683594,843.0117798,742.1290283,881.9241943
66,1384.458862,1006.281189,972.6678467,1011.761047,831.7396851,828.6963501,1058.644043,1120.586182
71,1434.609497,1175.373657,1035.858398,896.2348022,775.5095215,810.0194702,775.6174316,939.3843384
76,1692.668457,1393.768677,1388.51709,1158.756836,974.0066528,837.0383301,953.0427246,1101.650146
81,1839.042114,1499.192749,1375.238525,1067.988525,985.2982788,917.6899414,814.0801392,1310.735962
86,2084.042725,1196.634277,1311.102417,1214.939941,728.6470337,809.2788086,750.6422729,1254.192505
91,2154.697266,1356.559937,1299.166138,1444.296387,1194.99292,918.8228149,926.4547729,1415.009521
96,1931.206177,1132.549561,1726.771606,1247.05957,1582.769409,1260.807007,1409.582153,1511.664063
101,2476.355713,1672.533325,1577.230957,1620.306519,1426.559082,1367.017944,1131.022095,1565.412964
