Step,0,1,2,3,4,5,6,7
0,573.1771851,462.486084,431.605072,673.4504395,520.7984009,365.4463196,791.9968262,567.3800049
1,468.2652283,576.6534424,873.2927246,994.7821045,1416.743652,1503.161011,1617.338745,1086.315552
2,971.5387573,1027.605225,720.5688477,786.0588379,1144.48877,1200.43103,1150.607544,1158.783691
3,1555.886963,1431.097046,1432.3927,746.7990723,1025.598145,1051.301514,1000.906311,1335.458862
4,912.3208008,1035.226074,1118.182373,811.7340698,1010.900085,948.9647827,721.5667725,1002.001526
5,866.7284546,1286.933472,853.8508911,676.8265991,782.8301392,690.0333252,745.0373535,708.5026245
6,656.8578491,810.3465576,1097.195801,924.9393311,792.4790039,1035.758301,1022.885193,1394.026367
7,816.1191406,979.2272339,975.4057007,1054.987427,855.088562,654.4726563,822.9945679,985.4788208
8,630.8323364,1089.911865,976.7460938,1087.620605,793.2987061,689.5272827,651.6618042,716.9338989
9,628.5200806,1115.986328,1240.203125,1198.891357,1112.19458,849.8926392,1126.921753,931.6417236
10,657.4241943,1471.436401,1529.936157,983.8585205,740.3539429,874.2178345,677.7711792,924.819519
11,863.7610474,1094.376587,1292.875,969.7421875,1155.580444,1069.248413,859.3300171,851.2739258
12,1154.859131,914.3513184,1204.182251,975.0690918,951.1016235,857.862854,705.7896118,751.5272827
13,733.656311,1182.714233,952.4468384,1041.495728,784.9856567,863.0430298,781.2667847,801.7709351
14,473.1702576,1527.248535,687.0350952,1083.236938,1096.723145,786.8453369,935.3602905,975.409729
15,376.2930298,1099.456299,1364.369507,1219.33252,1047.385498,727.4020386,699.7993774,867.5998535
16,473.1256409,1154.209106,891.9408569,898.2767944,709.684021,924.7290039,923.4945068,965.3215332
17,294.1727905,357.2363586,916.2034302,997.0852661,928.3930664,779.6600342,965.9023438,1114.08252
18,512.8050537,898.9571533,598.8937988,816.4546509,1011.005859,834.9680786,810.289978,811.6321411
19,2.940527916,446.22995,1141.953125,645.9446411,732.4073486,790.6721191,1002.491821,899.4916992
20,162.4933777,1835.223145,1083.984009,1044.13623,892.7683105,834.774231,958.8684692,951.8370972
21,228.9513397,747.5679932,834.0147705,812.7417603,910.9614868,998.4516602,827.4331055,1003.232483
22,226.2796478,103.2616806,725.694458,525.5686035,1039.625366,959.8423462,893.925415,860.9411011
23,156.0474396,505.2376709,595.1444702,569.2836304,848.0206909,805.5835571,975.5401611,1082.077759
24,0.197534904,5.488366127,439.9046631,708.8881836,957.6052246,996.9707642,1319.520142,1090.50708
25,208.4206696,583.5588989,239.3203125,636.289978,928.723938,896.234314,1152.583374,1146.671509
26,0.080816746,1.967888951,278.8852844,494.5324097,1026.315796,798.539856,963.147583,1882.114258
27,0.05161503,0.871639192,264.6630249,856.2531128,866.5268555,1161.835327,1345.547607,1464.547729
28,0.025000134,0.923840106,260.8433838,586.7360229,1242.729858,916.3206787,1665.213379,1809.454834
29,0.019737594,0.492467165,113.8375778,174.7219086,441.0908203,1546.391235,2389.574463,2836.669189
30,686.8021851,0.254555821,269.3412781,391.1127625,345.4291382,351.7468872,2240.765869,1949.154053
31,0.004659214,0.351243556,695.4100342,734.3196411,200.6542664,332.0463257,1168.454468,2251.922119
32,0.00179325,201.8346405,0.640670061,129.2588501,312.997406,549.8427124,1817.10083,2433.949951
33,0.004787571,562.6002197,169.5959015,119.8437347,713.2508545,1266.429443,3346.131836,2730.656738
